GEN | [supported_cards_and_currencies] | Orig: Will you accept my credit card, it my only one. -> Aug: Can you accept my credit card, as it's the only one I have?
GEN | [card_acceptance] | Orig: Who accepts the card? -> Aug: What financial institutions or merchants accept the card?
GEN | [supported_cards_and_currencies] | Orig: I only have one other credit card from the US. Do you accept that? -> Aug: I'm wondering if you support any other credit cards besides the one I'm using, specifically one from the United States.
GEN | [beneficiary_not_allowed] | Orig: Hi,  Is there any problem with app? As i am facing some issues with the exchange of crypto currency. I am extremely interested in buying. -> Aug: Hello, I'm having some trouble with the app. I'm trying to exchange cryptocurrency, but it's not working as expected. I'm eager to make a purchase.
GEN | [activate_my_card] | Orig: You can do that in just a few seconds. Go to account, hit activate, and follow the directions from there. -> Aug: You can complete the process quickly. Simply navigate to your account, select the "Activate" option, and follow the prompts to finish.
GEN | [automatic_top_up] | Orig: How can I Use thereto-top option? -> Aug: How can I utilize the automatic top-up feature?
GEN | [supported_cards_and_currencies] | Orig: Can you accept my other card from the U.S.?  It is the only other one I have. -> Aug: Can you accept my other credit card issued in the United States? It's the only other one I possess.
GEN | [country_support] | Orig: May I get one of your cards?  I live in the EU. -> Aug: Might I request a card, as I am a resident of the European Union?
GEN | [supported_cards_and_currencies] | Orig: What are the currencies and cards that are supported with my account? -> Aug: What types of payment methods and currencies are accepted with my account?
GEN | [supported_cards_and_currencies] | Orig: My card wants to be topped what do you guys support? -> Aug: What payment methods do you accept for card reloads?
GEN | [card_acceptance] | Orig: You accepts my card? -> Aug: Is your card accepted?
GEN | [fiat_currency_support] | Orig: Do you have a problem with EUR exchanges? -> Aug: Are you experiencing an issue with converting or exchanging euros?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Do any of your machines provide cash from my home country? I don't have any money on me and I'm on holiday so I'm concerned. Also, will I be charged anything to do this? -> Aug: Can I withdraw cash from my home country using one of your machines while I'm on holiday? I'm worried about not having any local currency with me and would like to know if I'll be charged a fee for this service.
GEN | [card_about_to_expire] | Orig: I'm in China and really need a new card. -> Aug: I'm currently abroad in China and urgently require a replacement card.
GEN | [card_delivery_estimate] | Orig: can you express my card to me? -> Aug: Can you provide an estimate for the delivery of my card?
GEN | [terminate_account] | Orig: Can you please disable my current account. -> Aug: Can you assist me in closing my active account?
GEN | [activate_my_card] | Orig: Would you be so kind as to activate my card? Thanks -> Aug: Could you please activate my card for me? I'd greatly appreciate it.
GEN | [supported_cards_and_currencies] | Orig: Will you accept my credit card? -> Aug: Do you support credit card payments?
GEN | [country_support] | Orig: I'm in the EU. Can I get one of your cards? -> Aug: I'm a resident of the European Union. Can I obtain one of your credit cards?
GEN | [country_support] | Orig: Is there anywhere  In the  Eu  this card can not be delivered in -> Aug: Can this card be delivered to any location within the European Union, or are there specific areas where it cannot be delivered?
GEN | [card_arrival] | Orig: Was there a number to track that I could get? -> Aug: Is there a tracking number I can use to monitor the status of my card arrival?
GEN | [edit_personal_details] | Orig: I just had a wedding and I want to take my spouses name. -> Aug: I recently got married and I'd like to update my personal details to reflect my new married name.
GEN | [supported_cards_and_currencies] | Orig: Can you tell me which cards and currencies are supported? -> Aug: We'd be happy to inform you about the cards and currencies we currently accept.
GEN | [terminate_account] | Orig: What are the steps to finishing up with this account? -> Aug: How do I go about closing this account?
GEN | [verify_top_up] | Orig: I would like to receive instructions showing the verification process for top up cards.. -> Aug: I'd appreciate guidance on the steps to confirm the top-up process for my prepaid cards.
GEN | [country_support] | Orig: I am in the EU. Can I get one of your cards? -> Aug: I am a resident in the European Union. Can I obtain one of your credit cards?
GEN | [declined_card_payment] | Orig: Hi, is everything in good standing with my card? I am receiving multiple "decline" messages. -> Aug: Hi, I'm getting a few "decline" notifications regarding my card. Is everything okay with my account?
GEN | [activate_my_card] | Orig: Please assist me with activation. -> Aug: Please help me activate my card.
GEN | [cancel_transfer] | Orig: I don't need to transfer anymore and I want to cancel it. -> Aug: I'd like to stop the transfer process and cancel the transaction.
GEN | [visa_or_mastercard] | Orig: I'm happy with Mastercard and want to stick with just that credit card. -> Aug: I'm content with Mastercard and would prefer to continue using only that Visa or Mastercard.
GEN | [card_about_to_expire] | Orig: How can I get a card sent to China? -> Aug: What steps can I take to have a card delivered to China?
GEN | [edit_personal_details] | Orig: details need to be modified -> Aug: information needs to be updated
GEN | [beneficiary_not_allowed] | Orig: I'm trying to purchase crypto via the app. I haven't been able to get it to go through. Am I doing something wrong? -> Aug: I'm having trouble completing a crypto purchase through the app. Can you help me figure out what's preventing it from processing?
GEN | [beneficiary_not_allowed] | Orig: Why can't I buy cryptocurrency on the app? -> Aug: Why am I unable to purchase cryptocurrency through the mobile application?
GEN | [visa_or_mastercard] | Orig: This transaction needs both a Visa and a Mastercard. -> Aug: This transaction requires both a Visa and a Mastercard.
GEN | [automatic_top_up] | Orig: How do I get refills to my card when I'm traveling? -> Aug: How can I arrange for automatic top-ups to my card while I'm abroad?
GEN | [supported_cards_and_currencies] | Orig: I have another card from the U.S. Will you be able to accept that one? -> Aug: I'd like to know if you support cards issued in the United States.
GEN | [activate_my_card] | Orig: I need to actuate my card. -> Aug: I'd like to activate my card.
GEN | [age_limit] | Orig: My daughter needs to open account. -> Aug: A minor is seeking to establish a new account.
