GEN | [declined_card_payment] | Orig: why couldn't I use my card at a store? -> Aug: Why was my card payment declined at the store?
GEN | [atm_support] | Orig: how do I know where I can get money withdrawn? -> Aug: where can I find an ATM to withdraw cash?
GEN | [Refund_not_showing_up] | Orig: My refund isn't going fast enough. -> Aug: My refund is taking too long to process.
GEN | [country_support] | Orig: Can I get a card that works in other countries like Africa and Indonesia? -> Aug: Can I obtain a card that is widely accepted in various countries, including those in Africa and Indonesia?
GEN | [cancel_transfer] | Orig: My morning transaction needs to be canceled. -> Aug: I'd like to cancel the transfer I initiated this morning.
GEN | [order_physical_card] | Orig: I need to order a new card. -> Aug: I'd like to request a new physical card.
GEN | [Refund_not_showing_up] | Orig: Can I check my recent refund in my statement? -> Aug: Can I see my latest refund reflected in my account statement?
GEN | [fiat_currency_support] | Orig: Can I exchange my money for EUR? -> Aug: Can I convert my funds to euros?
GEN | [transfer_not_received_by_recipient] | Orig: What happens when I money transaction doesn't show up on the receiving side? -> Aug: Why hasn't the money transfer been credited to the recipient's account?
GEN | [order_physical_card] | Orig: I would like to request a card. -> Aug: I'd like to place an order for a physical card.
GEN | [exchange_charge] | Orig: Please tell me what the exchange fee is. -> Aug: Please inform me about the charge for exchanging currencies.
GEN | [lost_or_stolen_phone] | Orig: Do I need my phone to use the app? -> Aug: Can I still access the app without my phone?
GEN | [country_support] | Orig: Will my new card work outside of the EU? -> Aug: Will my new card be functional in countries outside the European Union?
GEN | [exchange_charge] | Orig: Exchange fee help? -> Aug: Need assistance with the exchange fee?
GEN | [cash_withdrawal_not_recognised] | Orig: I got a message saying I made a withdrawal from the bank machine, but I did not. -> Aug: I received a notification indicating that I withdrew cash from an ATM, but I'm certain I didn't make the transaction.
GEN | [card_about_to_expire] | Orig: Are new cards available from China? -> Aug: Are there any alternative card options available before my current card expires?
GEN | [Refund_not_showing_up] | Orig: I returned an item but don't see it on my account? -> Aug: I sent back a product, but the refund isn't showing up on my statement.
GEN | [card_payment_not_recognised] | Orig: I do not recongize a payment in my account. -> Aug: I'm unable to locate a payment in my account records.
GEN | [getting_spare_card] | Orig: daughter needs card, how do i add her -> Aug: I'd like to obtain a spare card for my daughter.
GEN | [automatic_top_up] | Orig: What is the limit on Auto top? -> Aug: What is the maximum amount allowed for automatic top-ups?
GEN | [failed_transfer] | Orig: Why can't I transfer my money into someone else's account? I should be able to do so right? Why does it keep rejecting my transfer? There's no reason, all my info is correct and the money is there. -> Aug: I'm having trouble sending funds to another person's account. It seems illogical that I'm unable to do so, as I've double-checked all my details and the funds are available. Can you help me understand why the transfer keeps getting declined?
GEN | [getting_spare_card] | Orig: I'd like to order another card -> Aug: I'd like to request a replacement card
GEN | [extra_charge_on_statement] | Orig: I was charged $1 in a transaction. -> Aug: I was unexpectedly billed an additional amount in a recent transaction.
GEN | [topping_up_by_card] | Orig: Can my account be topped-up by friends of mine. -> Aug: Can I have my account replenished by my friends using their cards?
GEN | [terminate_account] | Orig: I no longer want this account, what should I do? -> Aug: I'd like to cancel my account, please.
GEN | [transfer_fee_charged] | Orig: A receiver made me aware that they did not receive the full transfer that I made. The amount was showing to be a bit less. I now have to make a second transfer just to make up the difference. Can you reach out and let me know what's going on? -> Aug: A recipient informed me that they didn't receive the full transfer I initiated, and the amount was short. I'll need to make an additional transfer to cover the shortfall. Could you please investigate this discrepancy and get back to me?
GEN | [pending_transfer] | Orig: Why is the transaction not posting? -> Aug: Why is the transfer still pending?
GEN | [topping_up_by_card] | Orig: I need to transfer some money, can I use my credit card? -> Aug: I'd like to add funds to my account using my credit card.
GEN | [card_payment_wrong_exchange_rate] | Orig: Why did you charge me more for my purchase? It was a foreign currency and you didn't offer market rate -> Aug: Why did you apply an incorrect exchange rate for my international transaction? I was expecting a more competitive rate for the foreign currency.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Whats wrong with my currency exchange? -> Aug: The exchange rate for my cash withdrawal seems to be incorrect.
GEN | [transfer_into_account] | Orig: How is my money transferred to the account -> Aug: What steps can I take to move my funds into the account?
GEN | [receiving_money] | Orig: Do I need to convert my currency from GBP before transferring? -> Aug: Do I need to exchange my British pounds for another currency before making a transfer?
GEN | [verify_my_identity] | Orig: Can I use my social security card as a form of identity? -> Aug: May I confirm my identity using my social security card?
GEN | [extra_charge_on_statement] | Orig: Why did a transaction I made charge me $1? -> Aug: I'm wondering why I was charged an additional fee on my recent statement.
GEN | [declined_cash_withdrawal] | Orig: Why did the ATM cancel my transaction -> Aug: Why was my cash withdrawal declined at the ATM?
GEN | [card_about_to_expire] | Orig: Tell me what I should do after my card expires. -> Aug: What steps should I take once my credit card's expiration date has passed?
GEN | [lost_or_stolen_phone] | Orig: I misplaced my phone so I can't use the app! Does this mean I can't use my card? -> Aug: I accidentally left my phone behind, and now I'm unable to access the app. Does this mean I'm unable to use my card?
GEN | [virtual_card_not_working] | Orig: Please help me.  My disposable virtual card won't work right. -> Aug: Please assist me. My temporary virtual card is not functioning properly.
GEN | [pending_transfer] | Orig: How long do EU transfers actually take? I bought something online a couple days ago, sent the money immediately online but the seller says it's still not there yet. -> Aug: How long does it typically take for international transfers to be processed? I made an online purchase a few days ago and initiated the transfer promptly, but the vendor is telling me that the funds are still pending.
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: why couldn't I use my card at a store? | Augmented: Why was my card payment declined at the store?
VAL | [atm_support] | ACCEPT | Reason: Both texts are seeking information on locating an ATM for withdrawing money, which aligns with the 'atm_support' intent. | Original: how do I know where I can get money withdrawn? | Augmented: where can I find an ATM to withdraw cash?
VAL | [Refund_not_showing_up] | ACCEPT | Reason: N/A | Original: My refund isn't going fast enough. | Augmented: My refund is taking too long to process.
VAL | [country_support] | ACCEPT | Reason: N/A | Original: Can I get a card that works in other countries like Africa and Indonesia? | Augmented: Can I obtain a card that is widely accepted in various countries, including those in Africa and Indonesia?
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: My morning transaction needs to be canceled. | Augmented: I'd like to cancel the transfer I initiated this morning.
VAL | [order_physical_card] | ACCEPT | Reason: ... | Original: I need to order a new card. | Augmented: I'd like to request a new physical card.
VAL | [Refund_not_showing_up] | ACCEPT | Reason: N/A | Original: Can I check my recent refund in my statement? | Augmented: Can I see my latest refund reflected in my account statement?
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: Can I exchange my money for EUR? | Augmented: Can I convert my funds to euros?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: Both texts are asking about a situation where a money transfer did not reach the intended recipient, preserving the same intent. | Original: What happens when I money transaction doesn't show up on the receiving side? | Augmented: Why hasn't the money transfer been credited to the recipient's account?
VAL | [order_physical_card] | ACCEPT | Reason: ... | Original: I would like to request a card. | Augmented: I'd like to place an order for a physical card.
VAL | [exchange_charge] | ACCEPT | Reason: The augmented text does not change the intent; it merely uses slightly different wording to ask about the same concept (the charge for exchanging currencies). | Original: Please tell me what the exchange fee is. | Augmented: Please inform me about the charge for exchanging currencies.
VAL | [lost_or_stolen_phone] | ACCEPT | Reason: N/A | Original: Do I need my phone to use the app? | Augmented: Can I still access the app without my phone?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: Will my new card work outside of the EU? | Augmented: Will my new card be functional in countries outside the European Union?
VAL | [exchange_charge] | ACCEPT | Reason: ... | Original: Exchange fee help? | Augmented: Need assistance with the exchange fee?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: ... | Original: I got a message saying I made a withdrawal from the bank machine, but I did not. | Augmented: I received a notification indicating that I withdrew cash from an ATM, but I'm certain I didn't make the transaction.
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: Are new cards available from China? | Augmented: Are there any alternative card options available before my current card expires?
VAL | [Refund_not_showing_up] | ACCEPT | Reason: N/A | Original: I returned an item but don't see it on my account? | Augmented: I sent back a product, but the refund isn't showing up on my statement.
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I do not recongize a payment in my account. | Augmented: I'm unable to locate a payment in my account records.
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: daughter needs card, how do i add her | Augmented: I'd like to obtain a spare card for my daughter.
VAL | [automatic_top_up] | ACCEPT | Reason: ... | Original: What is the limit on Auto top? | Augmented: What is the maximum amount allowed for automatic top-ups?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: Why can't I transfer my money into someone else's account? I should be able to do so right? Why does it keep rejecting my transfer? There's no reason, all my info is correct and the money is there. | Augmented: I'm having trouble sending funds to another person's account. It seems illogical that I'm unable to do so, as I've double-checked all my details and the funds are available. Can you help me understand why the transfer keeps getting declined?
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: I'd like to order another card | Augmented: I'd like to request a replacement card
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: I was charged $1 in a transaction. | Augmented: I was unexpectedly billed an additional amount in a recent transaction.
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: Can my account be topped-up by friends of mine. | Augmented: Can I have my account replenished by my friends using their cards?
VAL | [terminate_account] | ACCEPT | Reason: Both texts express a clear intention to terminate an account without any contradictions or ambiguities. | Original: I no longer want this account, what should I do? | Augmented: I'd like to cancel my account, please.
VAL | [transfer_fee_charged] | ACCEPT | Reason: N/A | Original: A receiver made me aware that they did not receive the full transfer that I made. The amount was showing to be a bit less. I now have to make a second transfer just to make up the difference. Can you reach out and let me know what's going on? | Augmented: A recipient informed me that they didn't receive the full transfer I initiated, and the amount was short. I'll need to make an additional transfer to cover the shortfall. Could you please investigate this discrepancy and get back to me?
VAL | [pending_transfer] | ACCEPT | Reason: ... | Original: Why is the transaction not posting? | Augmented: Why is the transfer still pending?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: I need to transfer some money, can I use my credit card? | Augmented: I'd like to add funds to my account using my credit card.
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: ... | Original: Why did you charge me more for my purchase? It was a foreign currency and you didn't offer market rate | Augmented: Why did you apply an incorrect exchange rate for my international transaction? I was expecting a more competitive rate for the foreign currency.
VAL | [wrong_exchange_rate_for_cash_withdrawal] | ACCEPT | Reason: N/A | Original: Whats wrong with my currency exchange? | Augmented: The exchange rate for my cash withdrawal seems to be incorrect.
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: How is my money transferred to the account | Augmented: What steps can I take to move my funds into the account?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Do I need to convert my currency from GBP before transferring? | Augmented: Do I need to exchange my British pounds for another currency before making a transfer?
VAL | [verify_my_identity] | ACCEPT | Reason: ... | Original: Can I use my social security card as a form of identity? | Augmented: May I confirm my identity using my social security card?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: Why did a transaction I made charge me $1? | Augmented: I'm wondering why I was charged an additional fee on my recent statement.
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: ... | Original: Why did the ATM cancel my transaction | Augmented: Why was my cash withdrawal declined at the ATM?
VAL | [card_about_to_expire] | ACCEPT | Reason: Both texts are asking for actions to be taken when a card expires, preserving the original intent. | Original: Tell me what I should do after my card expires. | Augmented: What steps should I take once my credit card's expiration date has passed?
VAL | [lost_or_stolen_phone] | ACCEPT | Reason: N/A | Original: I misplaced my phone so I can't use the app! Does this mean I can't use my card? | Augmented: I accidentally left my phone behind, and now I'm unable to access the app. Does this mean I'm unable to use my card?
VAL | [virtual_card_not_working] | ACCEPT | Reason: N/A | Original: Please help me.  My disposable virtual card won't work right. | Augmented: Please assist me. My temporary virtual card is not functioning properly.
VAL | [pending_transfer] | ACCEPT | Reason: N/A | Original: How long do EU transfers actually take? I bought something online a couple days ago, sent the money immediately online but the seller says it's still not there yet. | Augmented: How long does it typically take for international transfers to be processed? I made an online purchase a few days ago and initiated the transfer promptly, but the vendor is telling me that the funds are still pending.
VAL_SUMMARY | ACCEPT: 39 | REVIEW: 0 | REJECT: 0 | UNKNOWN: 0 | Accept Rate: 1.0000
