GEN | [disposable_card_limits] | Orig: On my disposable card, is there a transaction limit? -> Aug: Can I know the spending limit on my disposable card?
GEN | [disposable_card_limits] | Orig: What is the number of transactions I get with a disposable card? -> Aug: How many transactions can I make with a disposable card?
GEN | [disposable_card_limits] | Orig: Show me the amount of transactions I can do with a disposable card. -> Aug: What are the transaction limits for a disposable card?
GEN | [disposable_card_limits] | Orig: How many transactions can I make on my disposable card? -> Aug: What is the transaction limit for my disposable card?
GEN | [disposable_card_limits] | Orig: What is the number of transactions for one disposable card? -> Aug: How many transactions are allowed on a disposable card?
GEN | [activate_my_card] | Orig: If you to to account, hit activate, and follow the instructions, you can activate it in just a few seconds. -> Aug: Once you access your account, click on the "Activate" button and follow the prompts to complete the activation process within a few seconds.
GEN | [why_verify_identity] | Orig: I'm waiting for the ID verification to go through still, so is it too soon to use my account? -> Aug: I'm still waiting for the ID verification process to complete, so can I use my account already?
GEN | [why_verify_identity] | Orig: I am still waiting for verification.  Can I use my account before I am verified? -> Aug: I'm still waiting for the verification process to complete. Can I access my account before it's confirmed?
GEN | [unable_to_verify_identity] | Orig: How long will it take to verify my account? -> Aug: We're having trouble confirming your identity, and we need a bit more time to complete the verification process.
GEN | [verify_source_of_funds] | Orig: My funds must be verified -> Aug: We need to confirm the origin of your funds
GEN | [disposable_card_limits] | Orig: How many transactions can I do with my disposable card? -> Aug: What is the transaction limit for my disposable card?
GEN | [transaction_charged_twice] | Orig: Why do I have two charges It should only be one charge? -> Aug: I've been charged twice for the same transaction, and I'm expecting only one charge.
GEN | [disposable_card_limits] | Orig: Do the disposable cards have a transaction limit? -> Aug: What are the spending limits for disposable cards?
GEN | [beneficiary_not_allowed] | Orig: What is preventing me from adding a specific beneficiary? -> Aug: Why am I unable to add a particular beneficiary to my account?
GEN | [disposable_card_limits] | Orig: What is the maximum number of transactions that I can put on a disposable card? -> Aug: What is the transaction limit for a disposable card?
GEN | [activate_my_card] | Orig: how long should i wait ti activate my card -> Aug: when can i expect to activate my card
GEN | [disposable_card_limits] | Orig: Is there a transaction limit on a disposable card? -> Aug: What are the spending limits for a disposable card?
GEN | [disposable_card_limits] | Orig: how many transactions can go on a disposable card? -> Aug: What is the transaction limit for a disposable card?
GEN | [disposable_card_limits] | Orig: What is the maximum number of transactions I can do with a disposable card? -> Aug: What is the transaction limit for a disposable card?
GEN | [transaction_charged_twice] | Orig: Why is there are there two of the same transaction? -> Aug: How come I've been charged for the same transaction twice?
GEN | [why_verify_identity] | Orig: Can I use my account although the identity verification has not been accepted yet? -> Aug: Can I access my account services if my identity verification is still pending?
GEN | [disposable_card_limits] | Orig: How many transactions can be made with a disposable card? -> Aug: What is the transaction limit for a disposable card?
GEN | [why_verify_identity] | Orig: Can I use my account now, even though my identity verification has not gone through yet? -> Aug: Can I access my account services if my identity has not been fully verified?
GEN | [disposable_card_limits] | Orig: I have a disposable card, how many transactions can I make? -> Aug: I'd like to know the transaction limit for my disposable card.
GEN | [top_up_limits] | Orig: What is the daily limit on my card? -> Aug: What is the daily spending limit on my credit card?
GEN | [verify_top_up] | Orig: What's a verification code? -> Aug: What's the confirmation code for my top-up?
GEN | [fiat_currency_support] | Orig: Does my account have the option to hold multiple currencies? -> Aug: Can I hold multiple types of fiat currencies in my account?
GEN | [beneficiary_not_allowed] | Orig: Why won't you let me name X as a beneficiary? -> Aug: You're asking why we're not permitting X to be designated as a beneficiary.
GEN | [verify_source_of_funds] | Orig: Where can I find my fund information? -> Aug: Can you please provide me with the details of my source of funds?
GEN | [why_verify_identity] | Orig: Can I use my account even though the identity verification has not passed yet? -> Aug: Can I still access my account if the identity verification process hasn't been completed yet?
GEN | [disposable_card_limits] | Orig: How many transactions can I do with a disposable card? -> Aug: What is the transaction limit for a disposable card?
GEN | [disposable_card_limits] | Orig: I have to make more then a few disposable cards per day. -> Aug: I frequently need to create multiple disposable cards daily.
GEN | [card_payment_fee_charged] | Orig: Where can I find out the fee structure for my account? I have been charged fees for some transactions, but not for other ones. I can't find a pattern in these fees. -> Aug: I'm trying to understand the fee policy for my account. I've noticed that I've been charged fees for certain transactions, but not for others, and I'm having trouble identifying a pattern. Can you help me understand the fee structure?
GEN | [pending_cash_withdrawal] | Orig: Explain pending transactions. -> Aug: Describe outstanding cash withdrawal requests.
GEN | [verify_source_of_funds] | Orig: Where do my funds originate from? -> Aug: What is the source of the funds in my account?
GEN | [atm_support] | Orig: How can I tell if an AMT will take this card? -> Aug: What's the best way to determine if an ATM will accept my card?
GEN | [declined_transfer] | Orig: How do I make sure my transfer isn't goin to an unsupported merchant? -> Aug: How can I guarantee that my transfer won't be declined due to an unsupported merchant?
GEN | [verify_source_of_funds] | Orig: Why do I need to verify my funds? -> Aug: We'd like to confirm the origin of your funds to ensure the transaction is legitimate and compliant with our banking regulations.
