GEN | [transaction_charged_twice] | Orig: I have been overcharged. -> Aug: I've been mistakenly charged twice.
GEN | [cancel_transfer] | Orig: The wrong account was used during a transaction. -> Aug: The incorrect account was mistakenly used for a transfer.
GEN | [pin_blocked] | Orig: I cannot use my PIN. -> Aug: I'm having trouble accessing my account due to a PIN issue.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Can the exchange rate change while I am in the process of making a withdrawal? -> Aug: Is the exchange rate adjusted while I'm in the middle of a cash withdrawal?
GEN | [cash_withdrawal_not_recognised] | Orig: I am confused why there is cash I did not accept in my account -> Aug: I'm puzzled as to why there's a cash withdrawal that I didn't initiate showing up in my account.
GEN | [failed_transfer] | Orig: How is this transfer supposed to work? It's not working for me. -> Aug: What's going on with this transfer? It's not processing as expected.
GEN | [apple_pay_or_google_pay] | Orig: Does Apple Watch support the topping-off of my account? -> Aug: Can I use my Apple Watch to replenish my account balance?
GEN | [receiving_money] | Orig: I received a transfer in GBP how do I change it to a different currency? -> Aug: I was sent a payment in British Pounds, can I convert it to a different currency?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Is it possible to use an ATM when I am not in the country and make a withdraw with out extra fees? -> Aug: Can I withdraw cash from an ATM while abroad without incurring additional fees due to an incorrect exchange rate for the cash withdrawal?
GEN | [cancel_transfer] | Orig: I have arranged a transfer, but no longer need to send it. How do I stop the transfer? -> Aug: I've initiated a transfer, but I've changed my mind and would like to cancel it. Can you help me stop the transfer from going through?
GEN | [change_pin] | Orig: I want to create a new pin. -> Aug: I'd like to generate a new personal identification number.
GEN | [request_refund] | Orig: How do I reverse a transaction on my account? -> Aug: I'd like to initiate a refund for a recent transaction on my account.
GEN | [extra_charge_on_statement] | Orig: Why did a transaction I made charge me $1? -> Aug: I'm wondering why I was charged an additional fee on my recent statement.
GEN | [card_payment_not_recognised] | Orig: A random charge got added to my card -> Aug: A mysterious transaction appeared on my card statement
GEN | [transfer_into_account] | Orig: I'd like to know how transferring my money into my account works. -> Aug: I'd like to understand the process of moving funds into my account.
GEN | [top_up_failed] | Orig: I really need to top-up my card today urgently but my card keeps getting declined!! Can you please resolve this problem or try an alternative -> Aug: I'm in a bit of an emergency and I need to add funds to my card ASAP, but it's not accepting the top-up. Can you help me resolve this issue or suggest an alternative solution?
GEN | [top_up_failed] | Orig: Could you please recommend what I should do if my card keeps getting declined?  I planned to top-up today but I am unable to get it to work.  I need a fast solution to this problem. -> Aug: Can you suggest a solution for my issue with topping up my account, as my card keeps getting declined and I'm unable to complete the transaction today?
GEN | [cash_withdrawal_charge] | Orig: How much can I withdrawal in one month without incurring fees? -> Aug: What is the maximum amount I can withdraw in a month without being charged a cash withdrawal fee?
GEN | [compromised_card] | Orig: I just got an email in confirming my purchase with my card. I login to the mobile app on the card and found out there are several purchase were made without me aware of it. Evidently someone had stole my card information and made these fraudulent purchase. I need the transaction to be reverse and have my card suspended. -> Aug: I recently received an email confirming a purchase made with my card, but when I checked my account on the mobile app, I discovered several unauthorized transactions. It appears that someone has compromised my card information and made these fraudulent purchases. I would like to have these transactions reversed and my card temporarily suspended.
GEN | [transfer_into_account] | Orig: How can I link my bank to my top up account? -> Aug: How can I connect my bank account to my transfer account?
GEN | [topping_up_by_card] | Orig: show me how to top up -> Aug: please demonstrate the process of adding funds using my card
GEN | [cash_withdrawal_not_recognised] | Orig: Help!  The app says I took out cash but I didn't! -> Aug: The app is showing a cash withdrawal that I didn't make.
GEN | [verify_top_up] | Orig: I just tried to top-up and now I'm getting an additional verification message, why? -> Aug: I'm experiencing an extra verification step after attempting to make a top-up, can you help me understand why?
GEN | [topping_up_by_card] | Orig: I don't see my top up in my wallet. -> Aug: I'm unable to locate the recent card top-up in my digital wallet.
GEN | [cash_withdrawal_not_recognised] | Orig: I believe my card has been compromised as there are funds showing that I did not receive. -> Aug: I'm concerned that my card has been compromised because I'm seeing transactions that I didn't authorize.
GEN | [pending_cash_withdrawal] | Orig: Why has my withdrawal not posted? -> Aug: Why is my cash withdrawal still pending?
GEN | [cash_withdrawal_charge] | Orig: Why was I charged when taking out money? -> Aug: Why was I assessed a fee when I withdrew cash?
GEN | [transfer_into_account] | Orig: I was wondering about transferring money into my account and how it works.  Can you tell me about that? -> Aug: I'd like to know more about the process of moving funds into my account. Can you provide information on how it's done?
GEN | [verify_top_up] | Orig: why verify the top up? it doesnt make sense -> Aug: what's the purpose of verifying the top-up process? it seems unclear to me
GEN | [compromised_card] | Orig: am suspicious of my card's security -> Aug: I'm concerned about the security of my card.
GEN | [cash_withdrawal_charge] | Orig: Do you charge for making a withdrawal? I took some money out of my account earlier and I was charged for this. -> Aug: Are there any fees associated with withdrawing cash from my account? I recall making a withdrawal recently and being charged for it.
GEN | [exchange_charge] | Orig: Do I get any sort of discount on volume for a lot fo currency exchanges? -> Aug: Can I take advantage of any bulk discounts for frequent currency exchange transactions?
GEN | [card_payment_fee_charged] | Orig: How did the extra charge on my card come in effect? -> Aug: What triggered the additional fee on my card?
GEN | [apple_pay_or_google_pay] | Orig: Can I use my Apple Watch to pay for gas? -> Aug: Can I use my smartwatch to make a payment for fuel?
GEN | [transfer_into_account] | Orig: I can't figure out how to transfer money into my account. -> Aug: I'm having trouble initiating a deposit into my account.
GEN | [transfer_not_received_by_recipient] | Orig: Two days ago I did a transfer to another account within the country.  It doesn't appear the transfer went through.  I have verified the account number several times.  Could you please check on this for me? -> Aug: I made a domestic transfer two days ago, but it seems the recipient hasn't received the funds. I've double-checked the account number to ensure it's correct. Could you look into this matter for me?
