GEN | [order_physical_card] | Orig: Can I revive a physical card. -> Aug: Can I retrieve a physical credit card?
GEN | [card_linking] | Orig: Will I need a new card or can I put my old card back into the app? -> Aug: Can I reactivate my existing card or do I need to request a new one for use with the app?
GEN | [getting_spare_card] | Orig: Can my daughter also have a card issued in her name, but linked to my account? -> Aug: Can I request a spare card in my daughter's name, which will be linked to my account?
GEN | [topping_up_by_card] | Orig: I tried topping off my account with a card, but the money is not in my account despite the charge going through -> Aug: I attempted to replenish my account balance using my card, but the funds are still not available despite the transaction being processed successfully
GEN | [top_up_by_card_charge] | Orig: is it free to add money to my card -> Aug: is there a charge for topping up my card balance?
GEN | [activate_my_card] | Orig: I couldn't complete card activation. -> Aug: I'm having trouble finishing the activation process for my card.
GEN | [passcode_forgotten] | Orig: I forgot my code -> Aug: I've misplaced my passcode
GEN | [card_acceptance] | Orig: Is my card denied anywhere? -> Aug: Is my credit card being rejected anywhere?
GEN | [order_physical_card] | Orig: I need an actual card that I can hold in my hand, how do I do that? -> Aug: I'd like to request a physical card that I can physically possess, how can I go about ordering one?
GEN | [card_about_to_expire] | Orig: What is the cost and time frame of getting a new card? -> Aug: What is the process and timeline for replacing an expiring card?
GEN | [disposable_card_limits] | Orig: I need several cards per day. And I need to be able to throw away all of the cards I make. -> Aug: I require a large quantity of disposable cards daily, and I'd like the ability to discard them as needed.
GEN | [supported_cards_and_currencies] | Orig: how can i transfer money from american express card -> Aug: What methods are available for transferring funds from my American Express card?
GEN | [card_payment_wrong_exchange_rate] | Orig: The exchange rate you are using is really bad.This can't be the official interbank exchange rate. -> Aug: The exchange rate you're using seems to be incorrect. It's not the rate I'm familiar with, and it's definitely not the interbank rate.
GEN | [pending_transfer] | Orig: I have a pending transaction -> Aug: A transfer is currently in the process of being processed
GEN | [Refund_not_showing_up] | Orig: Are the funds I requested from a merchant a few days ago in my account? I do not see them. -> Aug: I'm still waiting to see the refund from a recent transaction with a merchant. Can you check if it's been credited to my account yet?
GEN | [card_payment_wrong_exchange_rate] | Orig: my exchange rate looks wrong for my last payment -> Aug: The exchange rate used for my recent transaction appears to be incorrect.
GEN | [card_payment_wrong_exchange_rate] | Orig: The exchange rate you are using is really bad. This can't possibly be the official interbank exchange rate. -> Aug: The exchange rate you're using seems to be incorrect. It's not the rate I'm familiar with, and it's definitely not the rate I'd expect from a reputable financial institution.
GEN | [card_about_to_expire] | Orig: Does it cost anything to get a new card? Mine's about to expire and I'd also like to know how long it takes to get the new one. -> Aug: Is there a fee associated with obtaining a replacement card, as mine is nearing its expiration date, and I'd also appreciate knowing how long it takes to receive the new one?
GEN | [exchange_rate] | Orig: How do you do exchanges? -> Aug: What's the process for converting currencies?
GEN | [transaction_charged_twice] | Orig: I had a duplicate card and bought something and it showed up twice. I canceled my card, how do I get my money back? -> Aug: I accidentally used a duplicate credit card to make a purchase, and it was reflected on my account twice. I've since cancelled the card, but I'd like to know how to recover the extra charge.
GEN | [top_up_by_bank_transfer_charge] | Orig: Does it cost me to add cash? -> Aug: Is there a fee for topping up my account via bank transfer?
GEN | [top_up_failed] | Orig: Can I tell if my top off didn't work?  It doesn't seem to have. -> Aug: Can you confirm if my top-up was unsuccessful? It appears it didn't go through.
GEN | [fiat_currency_support] | Orig: What kind of money can I hold? -> Aug: What types of fiat currencies can I store in my account?
GEN | [pending_top_up] | Orig: When will my top up be applied? -> Aug: When will my pending top-up be processed?
GEN | [card_payment_wrong_exchange_rate] | Orig: The exchange rate you are using is bad.This can't be the official interbank exchange rate. -> Aug: The exchange rate you're using seems incorrect. It's not the standard interbank rate.
GEN | [card_payment_fee_charged] | Orig: I need to be made aware when I am being charged an extra amount for payments please. I looked over the app earlier and noticed an additional feel related to one of the payments. I was not warned about this before. -> Aug: I'd like to be informed when an extra charge is applied to my payment. I recently checked the app and noticed an additional fee associated with one of the transactions. I was not notified about this beforehand.
GEN | [why_verify_identity] | Orig: Can I make transfers before my identity verification? -> Aug: Can I initiate transactions before completing the identity verification process?
GEN | [extra_charge_on_statement] | Orig: $1 charge in transaction. -> Aug: A fee has been added to your statement.
GEN | [activate_my_card] | Orig: Tell me how to renew my new card? -> Aug: How do I reactivate my new credit card?
GEN | [pending_top_up] | Orig: When will my top up be approved? -> Aug: When will my pending top-up be processed?
GEN | [receiving_money] | Orig: Do I need to add my salary? -> Aug: Must I include my income?
GEN | [card_not_working] | Orig: Why won't the machine accept my card anymore? -> Aug: The card is not functioning properly and won't be recognized by the payment terminal.
GEN | [reverted_card_payment?] | Orig: I bought something and already paid for it but now I don't see it. -> Aug: I made a purchase and settled the payment, but the item is still missing.
GEN | [top_up_reverted] | Orig: I didn't cancel my top-up. -> Aug: I didn't reverse my top-up.
GEN | [card_linking] | Orig: Is there any way to see my card in the app? -> Aug: Can I access my card information within the app?
GEN | [why_verify_identity] | Orig: Can i make transactions before identity verification? -> Aug: Can I initiate transactions before completing the identity verification process?
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: Can I revive a physical card. | Augmented: Can I retrieve a physical credit card?
VAL | [card_linking] | ACCEPT | Reason: N/A | Original: Will I need a new card or can I put my old card back into the app? | Augmented: Can I reactivate my existing card or do I need to request a new one for use with the app?
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: Can my daughter also have a card issued in her name, but linked to my account? | Augmented: Can I request a spare card in my daughter's name, which will be linked to my account?
VAL | [topping_up_by_card] | ACCEPT | Reason: ... | Original: I tried topping off my account with a card, but the money is not in my account despite the charge going through | Augmented: I attempted to replenish my account balance using my card, but the funds are still not available despite the transaction being processed successfully
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: is it free to add money to my card | Augmented: is there a charge for topping up my card balance?
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: I couldn't complete card activation. | Augmented: I'm having trouble finishing the activation process for my card.
VAL | [passcode_forgotten] | ACCEPT | Reason: N/A | Original: I forgot my code | Augmented: I've misplaced my passcode
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Is my card denied anywhere? | Augmented: Is my credit card being rejected anywhere?
VAL | [order_physical_card] | ACCEPT | Reason: ... | Original: I need an actual card that I can hold in my hand, how do I do that? | Augmented: I'd like to request a physical card that I can physically possess, how can I go about ordering one?
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: What is the cost and time frame of getting a new card? | Augmented: What is the process and timeline for replacing an expiring card?
VAL | [disposable_card_limits] | ACCEPT | Reason: N/A | Original: I need several cards per day. And I need to be able to throw away all of the cards I make. | Augmented: I require a large quantity of disposable cards daily, and I'd like the ability to discard them as needed.
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: how can i transfer money from american express card | Augmented: What methods are available for transferring funds from my American Express card?
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: ... | Original: The exchange rate you are using is really bad.This can't be the official interbank exchange rate. | Augmented: The exchange rate you're using seems to be incorrect. It's not the rate I'm familiar with, and it's definitely not the interbank rate.
VAL | [pending_transfer] | ACCEPT | Reason: N/A | Original: I have a pending transaction | Augmented: A transfer is currently in the process of being processed
VAL | [Refund_not_showing_up] | ACCEPT | Reason: N/A | Original: Are the funds I requested from a merchant a few days ago in my account? I do not see them. | Augmented: I'm still waiting to see the refund from a recent transaction with a merchant. Can you check if it's been credited to my account yet?
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: ... | Original: my exchange rate looks wrong for my last payment | Augmented: The exchange rate used for my recent transaction appears to be incorrect.
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: N/A | Original: The exchange rate you are using is really bad. This can't possibly be the official interbank exchange rate. | Augmented: The exchange rate you're using seems to be incorrect. It's not the rate I'm familiar with, and it's definitely not the rate I'd expect from a reputable financial institution.
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: Does it cost anything to get a new card? Mine's about to expire and I'd also like to know how long it takes to get the new one. | Augmented: Is there a fee associated with obtaining a replacement card, as mine is nearing its expiration date, and I'd also appreciate knowing how long it takes to receive the new one?
VAL | [exchange_rate] | ACCEPT | Reason: N/A | Original: How do you do exchanges? | Augmented: What's the process for converting currencies?
VAL | [transaction_charged_twice] | ACCEPT | Reason: ... | Original: I had a duplicate card and bought something and it showed up twice. I canceled my card, how do I get my money back? | Augmented: I accidentally used a duplicate credit card to make a purchase, and it was reflected on my account twice. I've since cancelled the card, but I'd like to know how to recover the extra charge.
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Does it cost me to add cash? | Augmented: Is there a fee for topping up my account via bank transfer?
VAL | [top_up_failed] | ACCEPT | Reason: ... | Original: Can I tell if my top off didn't work?  It doesn't seem to have. | Augmented: Can you confirm if my top-up was unsuccessful? It appears it didn't go through.
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: What kind of money can I hold? | Augmented: What types of fiat currencies can I store in my account?
VAL | [pending_top_up] | ACCEPT | Reason: ... | Original: When will my top up be applied? | Augmented: When will my pending top-up be processed?
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: The augmented text maintains the core idea that the exchange rate being used is incorrect and not the standard interbank rate, which is consistent with the original intent. | Original: The exchange rate you are using is bad.This can't be the official interbank exchange rate. | Augmented: The exchange rate you're using seems incorrect. It's not the standard interbank rate.
VAL | [card_payment_fee_charged] | ACCEPT | Reason: ... | Original: I need to be made aware when I am being charged an extra amount for payments please. I looked over the app earlier and noticed an additional feel related to one of the payments. I was not warned about this before. | Augmented: I'd like to be informed when an extra charge is applied to my payment. I recently checked the app and noticed an additional fee associated with one of the transactions. I was not notified about this beforehand.
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: Can I make transfers before my identity verification? | Augmented: Can I initiate transactions before completing the identity verification process?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: $1 charge in transaction. | Augmented: A fee has been added to your statement.
VAL | [activate_my_card] | ACCEPT | Reason: N/A | Original: Tell me how to renew my new card? | Augmented: How do I reactivate my new credit card?
