GEN | [card_swallowed] | Orig: The ATM didnt return my card! -> Aug: The ATM swallowed my card!
GEN | [transfer_into_account] | Orig: I am out of money in my account and I was wondering if I could do a bank transfer is put more in it? -> Aug: I'm running low on funds in my account and I'd like to know if I can make a transfer to replenish it.
GEN | [card_arrival] | Orig: How long should it take for my new card to arrive in them mail? What should I do if I never receive it? -> Aug: When can I expect my new card to arrive by mail? What should I do if it doesn't show up?
GEN | [verify_top_up] | Orig: Can you explain to me the way to verify my top up has gone through? -> Aug: Could you please guide me on the process of confirming that my top-up transaction has been successfully processed?
GEN | [age_limit] | Orig: Do you have a limit for someone's age? -> Aug: Is there an age restriction in place?
GEN | [balance_not_updated_after_bank_transfer] | Orig: what amount of time does it take for a transfer to reflect and be available -> Aug: when can I expect the transfer to be reflected in my account balance?
GEN | [pending_card_payment] | Orig: Why are the things I bought earlier today still showing as pending? -> Aug: Why are the purchases I made earlier today still pending for payment?
GEN | [pending_transfer] | Orig: How long would does it take for a seller to receive an EU transfer if I bought something from them and sent them the money immediately? -> Aug: How long does it typically take for a seller to receive a pending transfer after I initiate the payment immediately?
GEN | [direct_debit_payment_not_recognised] | Orig: I have an unknown charge. -> Aug: We've detected an unfamiliar payment.
GEN | [top_up_failed] | Orig: How can correct Top up with the app to work correctly? -> Aug: Why is the top-up process not functioning properly when attempting to use the app?
GEN | [card_swallowed] | Orig: Why did the ATM take my card and keep it? -> Aug: The ATM swallowed my card, and I want to know why it's holding onto it.
GEN | [top_up_by_card_charge] | Orig: What do I need to know about topping up? -> Aug: What are the requirements for charging my card for a top-up?
GEN | [card_swallowed] | Orig: A Bank ATM did not give my card back. What do I do now? -> Aug: A Bank ATM has retained my card. What should I do next?
GEN | [wrong_amount_of_cash_received] | Orig: You shorted me money when I tried to make a withdrawal. -> Aug: You gave me less cash than I was supposed to get when I withdrew some money.
GEN | [pending_transfer] | Orig: When will my transfer move out of pending stage? -> Aug: When will my transfer be processed and no longer be in a pending state?
GEN | [reverted_card_payment?] | Orig: I have an issue. I bought something within the past one to two weeks and have received one of the products; however, today the total was returned to my account. What's going on here? -> Aug: I recently made a purchase, and although I received one of the items, the full amount was reversed back to my account. Can you help me understand what's happening?
GEN | [top_up_by_card_charge] | Orig: What are the fees for using a European bank card? -> Aug: What are the charges for making a payment using a European bank card?
GEN | [get_physical_card] | Orig: When do I set up my card PIN? -> Aug: How do I activate my physical card's PIN?
GEN | [card_swallowed] | Orig: I need a new card because the ATM took mine. -> Aug: I require a replacement card because I accidentally swallowed my original one.
GEN | [card_payment_fee_charged] | Orig: I was charged and shouldn't have been charged when using my card! -> Aug: I was unexpectedly billed a fee for using my card, which I believe was an error.
GEN | [transfer_fee_charged] | Orig: There is a fee from a transfer that is not supposed to be here! -> Aug: A surprise fee has appeared on a transfer that shouldn't have had one.
GEN | [topping_up_by_card] | Orig: I don't see me 'top up' in my wallet -> Aug: I'm unable to locate my card top-up transaction in my digital wallet.
GEN | [card_linking] | Orig: I would like to link my card to my account. -> Aug: I'd like to connect my card to my account.
GEN | [passcode_forgotten] | Orig: I'm locked out of my account as I can't remember my code, what do I do now? -> Aug: I've forgotten my passcode and can't access my account, what should I do to regain access?
GEN | [transfer_timing] | Orig: When will a transfer from the US post? -> Aug: When can I expect a transfer from the US to be processed?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Can the exchange rate change while I am in the process of making a withdrawal? -> Aug: Is the exchange rate adjusted while I'm in the middle of a cash withdrawal?
GEN | [card_payment_fee_charged] | Orig: Let me know when you charge for payments. I just checked the app and saw a fee that I wasn't warned about. -> Aug: Can you inform me when you deduct fees for transactions? I've checked the app and noticed a charge that I wasn't expecting.
GEN | [balance_not_updated_after_bank_transfer] | Orig: Why didn't the money I transferred into my account get added to my balance? -> Aug: Why hasn't my account balance been updated after I made a transfer from another bank account?
GEN | [balance_not_updated_after_bank_transfer] | Orig: My balance didn't change after I transferred some money. -> Aug: My account balance remains the same despite the recent transfer I made.
GEN | [top_up_failed] | Orig: I've been trying to transfer funds to top-up my card, but the transaction is not going through.  Is there something I'm doing wrong? -> Aug: I've attempted to add funds to my card, but the transaction has failed. Could you help me identify the issue?
GEN | [automatic_top_up] | Orig: Can I add money to my card automatically during a trip? -> Aug: Can I set up automatic top-ups for my card while I'm traveling?
GEN | [beneficiary_not_allowed] | Orig: My account transfer was not cleared. -> Aug: The transfer to the intended recipient was unsuccessful.
GEN | [pending_card_payment] | Orig: I made a payment that is not yet complete. -> Aug: The payment I initiated has not been fully processed.
GEN | [why_verify_identity] | Orig: Do you think you're asking for too much information about me? -> Aug: Are you feeling overwhelmed by the amount of personal details we're asking you to provide?
GEN | [card_arrival] | Orig: Do you have info about the card on delivery? -> Aug: Can you provide information about the card's arrival status?
VAL | [card_swallowed] | ACCEPT | Reason: ... | Original: The ATM didnt return my card! | Augmented: The ATM swallowed my card!
VAL | [transfer_into_account] | ACCEPT | Reason: ... | Original: I am out of money in my account and I was wondering if I could do a bank transfer is put more in it? | Augmented: I'm running low on funds in my account and I'd like to know if I can make a transfer to replenish it.
VAL | [card_arrival] | ACCEPT | Reason: ... | Original: How long should it take for my new card to arrive in them mail? What should I do if I never receive it? | Augmented: When can I expect my new card to arrive by mail? What should I do if it doesn't show up?
VAL | [verify_top_up] | ACCEPT | Reason: ... | Original: Can you explain to me the way to verify my top up has gone through? | Augmented: Could you please guide me on the process of confirming that my top-up transaction has been successfully processed?
VAL | [age_limit] | ACCEPT | Reason: N/A | Original: Do you have a limit for someone's age? | Augmented: Is there an age restriction in place?
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: N/A | Original: what amount of time does it take for a transfer to reflect and be available | Augmented: when can I expect the transfer to be reflected in my account balance?
VAL | [pending_card_payment] | ACCEPT | Reason: ... | Original: Why are the things I bought earlier today still showing as pending? | Augmented: Why are the purchases I made earlier today still pending for payment?
VAL | [pending_transfer] | ACCEPT | Reason: N/A | Original: How long would does it take for a seller to receive an EU transfer if I bought something from them and sent them the money immediately? | Augmented: How long does it typically take for a seller to receive a pending transfer after I initiate the payment immediately?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I have an unknown charge. | Augmented: We've detected an unfamiliar payment.
VAL | [top_up_failed] | ACCEPT | Reason: N/A | Original: How can correct Top up with the app to work correctly? | Augmented: Why is the top-up process not functioning properly when attempting to use the app?
VAL | [card_swallowed] | ACCEPT | Reason: ... | Original: Why did the ATM take my card and keep it? | Augmented: The ATM swallowed my card, and I want to know why it's holding onto it.
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: What do I need to know about topping up? | Augmented: What are the requirements for charging my card for a top-up?
VAL | [card_swallowed] | ACCEPT | Reason: N/A | Original: A Bank ATM did not give my card back. What do I do now? | Augmented: A Bank ATM has retained my card. What should I do next?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: You shorted me money when I tried to make a withdrawal. | Augmented: You gave me less cash than I was supposed to get when I withdrew some money.
VAL | [pending_transfer] | ACCEPT | Reason: ... | Original: When will my transfer move out of pending stage? | Augmented: When will my transfer be processed and no longer be in a pending state?
VAL | [reverted_card_payment?] | ACCEPT | Reason: ... | Original: I have an issue. I bought something within the past one to two weeks and have received one of the products; however, today the total was returned to my account. What's going on here? | Augmented: I recently made a purchase, and although I received one of the items, the full amount was reversed back to my account. Can you help me understand what's happening?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: What are the fees for using a European bank card? | Augmented: What are the charges for making a payment using a European bank card?
VAL | [get_physical_card] | ACCEPT | Reason: N/A | Original: When do I set up my card PIN? | Augmented: How do I activate my physical card's PIN?
VAL | [card_swallowed] | ACCEPT | Reason: N/A | Original: I need a new card because the ATM took mine. | Augmented: I require a replacement card because I accidentally swallowed my original one.
VAL | [card_payment_fee_charged] | ACCEPT | Reason: N/A | Original: I was charged and shouldn't have been charged when using my card! | Augmented: I was unexpectedly billed a fee for using my card, which I believe was an error.
VAL | [transfer_fee_charged] | ACCEPT | Reason: ... | Original: There is a fee from a transfer that is not supposed to be here! | Augmented: A surprise fee has appeared on a transfer that shouldn't have had one.
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: I don't see me 'top up' in my wallet | Augmented: I'm unable to locate my card top-up transaction in my digital wallet.
VAL | [card_linking] | ACCEPT | Reason: Both sentences express the action of associating a card with an account, which is the core of the 'card_linking' intent. | Original: I would like to link my card to my account. | Augmented: I'd like to connect my card to my account.
VAL | [passcode_forgotten] | ACCEPT | Reason: N/A | Original: I'm locked out of my account as I can't remember my code, what do I do now? | Augmented: I've forgotten my passcode and can't access my account, what should I do to regain access?
VAL | [transfer_timing] | ACCEPT | Reason: ... | Original: When will a transfer from the US post? | Augmented: When can I expect a transfer from the US to be processed?
VAL | [wrong_exchange_rate_for_cash_withdrawal] | ACCEPT | Reason: N/A | Original: Can the exchange rate change while I am in the process of making a withdrawal? | Augmented: Is the exchange rate adjusted while I'm in the middle of a cash withdrawal?
VAL | [card_payment_fee_charged] | ACCEPT | Reason: N/A | Original: Let me know when you charge for payments. I just checked the app and saw a fee that I wasn't warned about. | Augmented: Can you inform me when you deduct fees for transactions? I've checked the app and noticed a charge that I wasn't expecting.
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: ... | Original: Why didn't the money I transferred into my account get added to my balance? | Augmented: Why hasn't my account balance been updated after I made a transfer from another bank account?
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: ... | Original: My balance didn't change after I transferred some money. | Augmented: My account balance remains the same despite the recent transfer I made.
