GEN | [extra_charge_on_statement] | Orig: What does the €1 fee mean? -> Aug: What is the purpose of the additional charge that appears on my statement?
GEN | [card_payment_wrong_exchange_rate] | Orig: Why is the exchange rate on my card wrong? -> Aug: The exchange rate applied to my card payment is incorrect.
GEN | [card_payment_wrong_exchange_rate] | Orig: The exchange rate for my card payment doesn't seem right. -> Aug: The rate applied to my card transaction appears to be incorrect.
GEN | [card_payment_fee_charged] | Orig: I was charged a fee for using my card. Can I check that in any way? It seems like there are occasions that I am charge for fees. Can you elaborate this? -> Aug: I'm wondering if I was incorrectly charged a fee for using my card. Could you help me verify this? It seems like there are instances where I'm being charged for fees. Can you provide more information on this?
GEN | [transfer_fee_charged] | Orig: I use my card internationally to manage payments and I just noticed that you are adding additional fees.  Why?  I am a good customer and this has me thinking about leaving. -> Aug: I've been using my card for international transactions and I'm concerned about the extra fees I'm being charged. As a loyal customer, I'd appreciate an explanation for these additional charges, as it's making me consider taking my business elsewhere.
GEN | [extra_charge_on_statement] | Orig: what was the $1 fee i got -> Aug: what was the additional charge I noticed on my statement?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: My rate is not right when I used my card in a different country's money. -> Aug: The exchange rate was incorrect when I made a cash withdrawal using my card in a foreign country.
GEN | [transfer_fee_charged] | Orig: I just moved overseas and I noticed that you are charging me more fees.  I am a loyal customer, is this how you expect to keep customers? -> Aug: I've recently relocated abroad and I've noticed an increase in the transfer fees. As a long-time customer, I'm surprised by this change in policy.
GEN | [card_payment_wrong_exchange_rate] | Orig: I am not receiving the correct exchange rate on my card. -> Aug: The exchange rate applied to my card payment is incorrect.
GEN | [card_payment_wrong_exchange_rate] | Orig: Why is the exchange rate on my card payment different than I expected? -> Aug: Why is the exchange rate applied to my card payment not what I was expecting?
GEN | [card_payment_fee_charged] | Orig: Hello! I randomly got charged an extra fee today as i was shopping online and i have no idea why! Are there extra fees for card payments? Or am i missing something here? -> Aug: Hi, I'm a bit puzzled - I was making an online purchase and suddenly got hit with an unexpected fee. Could you please clarify if there's an additional charge for using my card for transactions? I'm not sure what's going on!
GEN | [extra_charge_on_statement] | Orig: What is this extra €1 fee about? -> Aug: What is the purpose of this additional €1 charge on my statement?
GEN | [transaction_charged_twice] | Orig: I was charged multiple times at the same location at the same time -> Aug: I was double-billed at the same location during the same transaction period
GEN | [card_payment_fee_charged] | Orig: Why was the price higher when I paid with my card? -> Aug: Why was there an additional charge when I used my credit card to make the payment?
GEN | [extra_charge_on_statement] | Orig: Why is there a 1 euro fee on my statement? -> Aug: What is the reason for the additional charge that appears on my statement?
GEN | [exchange_rate] | Orig: What do you use to figure out the exchange rate for the card? -> Aug: How do you determine the exchange rate for the card?
GEN | [extra_charge_on_statement] | Orig: Where did the  €1 fee in my statement come from -> Aug: Can you explain the €1 charge on my recent statement?
GEN | [card_payment_wrong_exchange_rate] | Orig: I think the exchange rate on my card payment is incorrect. -> Aug: I believe the exchange rate applied to my card transaction is inaccurate.
GEN | [card_payment_fee_charged] | Orig: I had to pay money for paying with my card. -> Aug: I was charged a fee for using my card to make the payment.
GEN | [card_payment_fee_charged] | Orig: I think a fee was applied for paying with a card. -> Aug: I believe a charge was added for using a credit/debit card for the transaction.
GEN | [extra_charge_on_statement] | Orig: There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there. -> Aug: I've noticed a mysterious £1 charge showing up as pending on my statement. Can you help me figure out what it's for? I'm certain I didn't make any purchases for that amount.
GEN | [card_payment_wrong_exchange_rate] | Orig: Exchange rate for my card payment is wrong -> Aug: The exchange rate applied to my card transaction is incorrect
GEN | [exchange_rate] | Orig: Can you explain your exchange rates basis? -> Aug: What is the basis for your exchange rates?
GEN | [card_payment_fee_charged] | Orig: What are these fees i am paying? -> Aug: Why am I being charged these fees on my card payment?
GEN | [country_support] | Orig: I live in Germany. Is that one of the countries you are in? What other countries are you in? -> Aug: I reside in Germany. Are you a financial institution that operates in multiple countries, including Germany? Can you provide a list of all the countries you support?
GEN | [transaction_charged_twice] | Orig: Why am I being charged for the same thing twice? -> Aug: I've been double-charged for the same transaction, and I'm not sure why.
GEN | [exchange_rate] | Orig: What value can I get for my currency? -> Aug: What's the current exchange rate for my money?
GEN | [card_payment_fee_charged] | Orig: I don't think I should have been charged a fee to use my card. -> Aug: I'm surprised to see a fee applied to my card transaction.
GEN | [card_payment_wrong_exchange_rate] | Orig: The exchange rate from my card payment isn't right. -> Aug: The exchange rate applied to my card transaction is incorrect.
GEN | [extra_charge_on_statement] | Orig: Why has my card been charged an extra pound? -> Aug: Why is there an additional charge on my statement?
GEN | [extra_charge_on_statement] | Orig: What is the extra €1 on my statement for? -> Aug: What is the additional charge on my statement for?
GEN | [card_payment_fee_charged] | Orig: Why are you charging me fees for using my card? -> Aug: I'm not sure why I'm being charged a fee for making a payment with my card.
GEN | [exchange_rate] | Orig: I'm interested in what your exchange rates are based on. -> Aug: I'd like to know more about your current exchange rates.
GEN | [extra_charge_on_statement] | Orig: Is the 1 pound charge I can see an error or an incorrect entry? -> Aug: Is the £1 charge on my statement an error or an incorrect entry?
GEN | [card_payment_fee_charged] | Orig: I used my card and there was a fee -> Aug: I made a payment using my card, and a fee was deducted
GEN | [card_payment_fee_charged] | Orig: Tell me why there is a fee for a card payment. -> Aug: I'd be happy to explain why a fee is applied to your card payment.
GEN | [order_physical_card] | Orig: how much does a card cost and why do you charge me -> Aug: What is the price of a physical card, and can you explain the fees associated with it?
GEN | [transfer_fee_charged] | Orig: I've been using my account while abroad for a while but only recently I've been charged a fee. Why am I only being charged a fee now. -> Aug: I've been accessing my account from overseas for some time, but I've just noticed that I've been charged a transfer fee. Can you explain why I'm only being charged this fee now?
GEN | [transaction_charged_twice] | Orig: Hi. Please can you help me fix a double charge on my card? I'm looking at my transactions and this restaurant I went to earlier in the week has charged me twice! Please remove the additional charge for me. -> Aug: I'm experiencing an issue with a duplicate charge on my card. I've reviewed my transactions and noticed that a recent charge from a restaurant I visited earlier this week appears to be duplicated. Could you assist me in correcting this and removing the extra charge?
