GEN | [top_up_by_cash_or_cheque] | Orig: Do you accept cash? -> Aug: Can you make a cash deposit or pay by cheque?
GEN | [cancel_transfer] | Orig: stop the transaction -> Aug: halt the transfer
GEN | [exchange_via_app] | Orig: I am from X but am traveling to Y - how do I get currency for Y? -> Aug: I'm currently in X but heading to Y, and I'd like to know how to obtain the local currency for Y using the app.
GEN | [cancel_transfer] | Orig: Can I stop a transaction? -> Aug: Can I cancel a transfer?
GEN | [card_acceptance] | Orig: Can I use my card while on vacation overseas? -> Aug: Can I make purchases with my card while traveling abroad?
GEN | [Refund_not_showing_up] | Orig: i need a refund right away but the funds aren't available in my account -> Aug: I require an immediate refund, but the refund amount is not showing up in my account.
GEN | [get_physical_card] | Orig: Is the PIN sent in another message? -> Aug: Can I receive the physical card separately?
GEN | [exchange_via_app] | Orig: I'm having difficulties changing AUD for GBP. How do I do this? -> Aug: I'm having trouble exchanging Australian dollars for British pounds. Can you guide me through the process?
GEN | [supported_cards_and_currencies] | Orig: why wont my american express work to add money -> Aug: Why can't I use my American Express card to top up my account?
GEN | [compromised_card] | Orig: Should I order a new card before I freeze my original one? -> Aug: Should I request a replacement card before securing my compromised card?
GEN | [card_linking] | Orig: Help me access the card I already got so I can information from it. -> Aug: Can you assist me in retrieving the card I already possess so I can access its information?
GEN | [card_acceptance] | Orig: Is the card welcomed by everybody? -> Aug: Is the card accepted by all parties involved?
GEN | [declined_cash_withdrawal] | Orig: I can't get any money from my account. -> Aug: I'm unable to access my account funds.
GEN | [declined_cash_withdrawal] | Orig: Why can't I take money from my account? -> Aug: Why was my cash withdrawal request denied?
GEN | [visa_or_mastercard] | Orig: If I can't choose my card type will I be able to use it everywhere? -> Aug: If I'm unable to select my preferred payment method, will I still be able to make purchases with my Visa or Mastercard at any merchant?
GEN | [card_not_working] | Orig: How do I check security settings on my card? -> Aug: What steps can I take to review the security settings on my card?
GEN | [Refund_not_showing_up] | Orig: why cant you just refund me instead of a merchant -> Aug: why can't you simply process a refund for me instead of waiting for the merchant to initiate it?
GEN | [top_up_by_bank_transfer_charge] | Orig: Is there a charge for getting my money? -> Aug: Are there any fees associated with transferring funds to my account?
GEN | [cancel_transfer] | Orig: Hi , I just came to know I made the wrong transaction  yesterday. Would  you please make it correct?I need it by tomorrow. -> Aug: I'd like to correct a mistake I made with a recent transaction. Could you please reverse the transfer? I need it resolved by tomorrow.
GEN | [top_up_by_bank_transfer_charge] | Orig: Does it cost me to add cash? -> Aug: Is there a fee for topping up my account via bank transfer?
GEN | [top_up_by_bank_transfer_charge] | Orig: Is there a cost to receive money? -> Aug: Are there any fees associated with receiving a bank transfer to top up my account?
GEN | [apple_pay_or_google_pay] | Orig: I seem to be having trouble with my Google Pay Top. Can you please help? -> Aug: I'm experiencing an issue with my Apple Pay account. Can you assist me with that?
GEN | [cash_withdrawal_charge] | Orig: Please help!  There was an extra fee when I got cash. -> Aug: Please assist me, I was charged an unexpected fee when I withdrew cash.
GEN | [why_verify_identity] | Orig: Is the identity check part of bank policy? -> Aug: What's the reason behind verifying identities at our bank?
GEN | [get_physical_card] | Orig: I don't have a PIN at this point. -> Aug: I'm not currently in possession of my physical card.
GEN | [unable_to_verify_identity] | Orig: My identity isn't being accepted, what should I do? -> Aug: We're having trouble verifying your identity, could you please assist us in resolving this issue?
GEN | [get_physical_card] | Orig: I signed up, but don't have a PIN. Where can I find it? -> Aug: I'm a new customer, but I haven't received my physical card yet. Can I get it sent to me?
GEN | [card_payment_wrong_exchange_rate] | Orig: My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened? -> Aug: My client was exchanging their Russian rubles for UK pounds, but the amount they were charged was significantly higher than expected due to an incorrect exchange rate.
GEN | [verify_top_up] | Orig: What is the verification process for my card? -> Aug: How do I confirm my card details for a top-up?
GEN | [card_acceptance] | Orig: Are there any places that won't take my card? -> Aug: Are there any locations that don't accept my card?
GEN | [Refund_not_showing_up] | Orig: I can't see all the refunds in my statement -> Aug: I'm unable to locate the refunds in my account statement.
GEN | [request_refund] | Orig: Is there a way you can have money from a purchase I made refunded to my account. -> Aug: Can you assist me in getting a refund for a recent purchase credited back to my account?
GEN | [card_not_working] | Orig: What do I do now that I can't use this card? -> Aug: What should I do since my card is not functioning properly?
GEN | [exchange_via_app] | Orig: What do I need to do to exchange my money? -> Aug: To initiate a currency exchange, what are the steps I need to take using the app?
GEN | [reverted_card_payment?] | Orig: I tried to buy something online but my funds were transferred back to my account. What is happening? -> Aug: Why did the payment I made online get reversed and credited back to my account?
GEN | [terminate_account] | Orig: Can you please disable my current account. -> Aug: Can you assist me in closing my active account?
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: N/A | Original: Do you accept cash? | Augmented: Can you make a cash deposit or pay by cheque?
VAL | [cancel_transfer] | ACCEPT | Reason: Both "stop the transaction" and "halt the transfer" convey the same action of terminating a financial transfer. | Original: stop the transaction | Augmented: halt the transfer
VAL | [exchange_via_app] | ACCEPT | Reason: N/A | Original: I am from X but am traveling to Y - how do I get currency for Y? | Augmented: I'm currently in X but heading to Y, and I'd like to know how to obtain the local currency for Y using the app.
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: Can I stop a transaction? | Augmented: Can I cancel a transfer?
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Can I use my card while on vacation overseas? | Augmented: Can I make purchases with my card while traveling abroad?
VAL | [Refund_not_showing_up] | ACCEPT | Reason: N/A | Original: i need a refund right away but the funds aren't available in my account | Augmented: I require an immediate refund, but the refund amount is not showing up in my account.
VAL | [get_physical_card] | UNKNOWN | Reason: N/A | Original: Is the PIN sent in another message? | Augmented: Can I receive the physical card separately?
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: I'm having difficulties changing AUD for GBP. How do I do this? | Augmented: I'm having trouble exchanging Australian dollars for British pounds. Can you guide me through the process?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: why wont my american express work to add money | Augmented: Why can't I use my American Express card to top up my account?
VAL | [compromised_card] | ACCEPT | Reason: N/A | Original: Should I order a new card before I freeze my original one? | Augmented: Should I request a replacement card before securing my compromised card?
VAL | [card_linking] | ACCEPT | Reason: Both texts are requesting assistance in accessing an existing card to retrieve information, which aligns with the 'card_linking' intent. | Original: Help me access the card I already got so I can information from it. | Augmented: Can you assist me in retrieving the card I already possess so I can access its information?
VAL | [card_acceptance] | ACCEPT | Reason: N/A | Original: Is the card welcomed by everybody? | Augmented: Is the card accepted by all parties involved?
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: N/A | Original: I can't get any money from my account. | Augmented: I'm unable to access my account funds.
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: ... | Original: Why can't I take money from my account? | Augmented: Why was my cash withdrawal request denied?
VAL | [visa_or_mastercard] | ACCEPT | Reason: N/A | Original: If I can't choose my card type will I be able to use it everywhere? | Augmented: If I'm unable to select my preferred payment method, will I still be able to make purchases with my Visa or Mastercard at any merchant?
VAL | [card_not_working] | ACCEPT | Reason: N/A | Original: How do I check security settings on my card? | Augmented: What steps can I take to review the security settings on my card?
VAL | [Refund_not_showing_up] | ACCEPT | Reason: N/A | Original: why cant you just refund me instead of a merchant | Augmented: why can't you simply process a refund for me instead of waiting for the merchant to initiate it?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Is there a charge for getting my money? | Augmented: Are there any fees associated with transferring funds to my account?
VAL | [cancel_transfer] | ACCEPT | Reason: The augmented text preserves the intent of correcting a mistaken transaction, which aligns with the original intent of canceling a transfer. The wording is slightly different but the core banking action remains the same. | Original: Hi , I just came to know I made the wrong transaction  yesterday. Would  you please make it correct?I need it by tomorrow. | Augmented: I'd like to correct a mistake I made with a recent transaction. Could you please reverse the transfer? I need it resolved by tomorrow.
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Does it cost me to add cash? | Augmented: Is there a fee for topping up my account via bank transfer?
VAL | [top_up_by_bank_transfer_charge] | UNKNOWN | Reason: N/A | Original: Is there a cost to receive money? | Augmented: Are there any fees associated with receiving a bank transfer to top up my account?
VAL | [apple_pay_or_google_pay] | UNKNOWN | Reason: N/A | Original: I seem to be having trouble with my Google Pay Top. Can you please help? | Augmented: I'm experiencing an issue with my Apple Pay account. Can you assist me with that?
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: Please help!  There was an extra fee when I got cash. | Augmented: Please assist me, I was charged an unexpected fee when I withdrew cash.
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: Is the identity check part of bank policy? | Augmented: What's the reason behind verifying identities at our bank?
VAL | [get_physical_card] | ACCEPT | Reason: N/A | Original: I don't have a PIN at this point. | Augmented: I'm not currently in possession of my physical card.
VAL | [unable_to_verify_identity] | ACCEPT | Reason: N/A | Original: My identity isn't being accepted, what should I do? | Augmented: We're having trouble verifying your identity, could you please assist us in resolving this issue?
VAL | [get_physical_card] | ACCEPT | Reason: N/A | Original: I signed up, but don't have a PIN. Where can I find it? | Augmented: I'm a new customer, but I haven't received my physical card yet. Can I get it sent to me?
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: The augmented text maintains the same banking intent by focusing on the incorrect exchange rate leading to a higher-than-expected charge during a currency conversion, which is consistent with the original text. | Original: My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened? | Augmented: My client was exchanging their Russian rubles for UK pounds, but the amount they were charged was significantly higher than expected due to an incorrect exchange rate.
