GEN | [change_pin] | Orig: I am on vacation in Spain and need to change my pin. -> Aug: I'm currently traveling in Spain and would like to modify my PIN.
GEN | [edit_personal_details] | Orig: I am here to change my adress. -> Aug: I'd like to update my residential address.
GEN | [why_verify_identity] | Orig: Can we skip verifying? -> Aug: Can we bypass the identity verification process?
GEN | [card_delivery_estimate] | Orig: Are the delivery days flexible?  My schedule only allows me to be a available on specific dates. -> Aug: Can you accommodate my schedule, which has specific availability on certain dates, for the card delivery?
GEN | [unable_to_verify_identity] | Orig: why does it take so long to verify my id -> Aug: We're having trouble confirming your identity, and it's taking a bit longer than usual to complete the verification process.
GEN | [change_pin] | Orig: Can I change my PIN in Austria? -> Aug: Can I modify my PIN in Austria?
GEN | [edit_personal_details] | Orig: after i got married i need to change my name -> Aug: following my recent marriage, i would like to update my personal information
GEN | [edit_personal_details] | Orig: Since I just got married I need to change my name. -> Aug: Following my recent marriage, I'd like to update my personal information.
GEN | [edit_personal_details] | Orig: I need to change my name, since i just got married -> Aug: I'd like to update my personal information, as I've recently changed my name due to a marriage.
GEN | [edit_personal_details] | Orig: I got married and need to change my name. -> Aug: I recently changed my marital status and would like to update my personal information.
GEN | [why_verify_identity] | Orig: how do I speed up identity verification? -> Aug: What's the best way to expedite the identity verification process?
GEN | [contactless_not_working] | Orig: Help me to set up contactless payments. -> Aug: Can you assist me in enabling contactless transactions?
GEN | [edit_personal_details] | Orig: How do I input a new address? -> Aug: How can I update my address information?
GEN | [get_physical_card] | Orig: Does the PIN come under separate cover? -> Aug: Is the PIN card separate from the physical card?
GEN | [edit_personal_details] | Orig: I just got married and I need to change my name -> Aug: I've recently gotten married and I'd like to update my personal information.
GEN | [why_verify_identity] | Orig: I'm waiting for the ID verification to go through still, so is it too soon to use my account? -> Aug: I'm still waiting for the ID verification process to complete, so can I use my account already?
GEN | [card_acceptance] | Orig: WHAT IS THE ATMOSPHERE OF IT -> Aug: What is the acceptance of the card?
GEN | [verify_my_identity] | Orig: why do I need to show ID -> Aug: what's the purpose of verifying my identity
GEN | [edit_personal_details] | Orig: My marital status has change, I got to correct my name to reflect that. -> Aug: I'd like to update my personal information as my marital status has changed, and I'd like to modify my name to accurately reflect this change.
GEN | [change_pin] | Orig: How can I change my PIN even though I'm out of the country in Austria at the moment? -> Aug: Can I modify my PIN while I'm currently abroad in Austria?
GEN | [change_pin] | Orig: How can I change my Rowlock ? -> Aug: How do I modify my PIN?
GEN | [edit_personal_details] | Orig: I would like to change my name after marriage. -> Aug: I'd like to update my personal information to reflect my new married name.
GEN | [why_verify_identity] | Orig: Can I use my account even though the identity verification has not passed yet? -> Aug: Can I still access my account if the identity verification process hasn't been completed yet?
GEN | [change_pin] | Orig: I'm travelling abroad but I've run into a situation where I need to change my PIN immediately. Can I do this from here? -> Aug: I'm currently abroad and I need to update my PIN urgently. Can I make this change remotely?
GEN | [terminate_account] | Orig: i'm not satisfied with the services and no longer want to be a customer -> Aug: I'm unhappy with the services and would like to discontinue my account.
GEN | [why_verify_identity] | Orig: I am still waiting for verification.  Can I use my account before I am verified? -> Aug: I'm still waiting for the verification process to complete. Can I access my account before it's confirmed?
GEN | [terminate_account] | Orig: if im not using my account should i close it or just let it sit -> Aug: If I'm not actively using my account, should I cancel it or simply leave it inactive?
GEN | [edit_personal_details] | Orig: I am looking to change my adress. -> Aug: I'd like to update my residential address.
GEN | [why_verify_identity] | Orig: Why do I have to give you my drivers license -> Aug: We're verifying your identity to ensure the security and integrity of your account.
GEN | [change_pin] | Orig: I have been travelling overseas and I need to change my PIN. Can you tell me how this is done? -> Aug: I'm currently abroad and I'd like to modify my PIN. Could you please guide me through the process of updating it?
GEN | [pending_cash_withdrawal] | Orig: I tried to get some with-drawls but the machine didn't work. The transaction still seems in progress.Seems like  something is wrong,I don't want to be charged for Transaction i did not make. -> Aug: I attempted to initiate a cash withdrawal, but the ATM malfunctioned. The transaction appears to be pending, and I'm concerned that I might be charged for a transaction I didn't authorize.
GEN | [edit_personal_details] | Orig: I need to update my demographics. -> Aug: I'd like to modify my personal information.
GEN | [card_swallowed] | Orig: how can the money machine keep my card what do i need to do? -> Aug: How can I prevent my card from being swallowed by the ATM? What steps can I take to ensure it's returned safely?
GEN | [wrong_amount_of_cash_received] | Orig: i asked for 100 only got 80 -> Aug: i requested $100, but I was given $80 instead
GEN | [edit_personal_details] | Orig: How do I change my name after marriage -> Aug: How can I update my personal information to reflect my new married name?
GEN | [contactless_not_working] | Orig: My contactless payments don't work. -> Aug: My mobile payment method isn't functioning properly.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Do any of your machines provide cash from my home country? I don't have any money on me and I'm on holiday so I'm concerned. Also, will I be charged anything to do this? -> Aug: Can I withdraw cash from my home country using one of your machines while I'm on holiday? I'm worried about not having any local currency with me and would like to know if I'll be charged a fee for this service.
GEN | [card_not_working] | Orig: I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account? -> Aug: I attempted to book a flight online this morning, but my credit card details aren't being accepted. Is there an issue with my account?
GEN | [why_verify_identity] | Orig: Can I already use my account although the identity verification has not passed yet? -> Aug: Can I access my account before the identity verification process is completed?
