GEN | [top_up_reverted] | Orig: top up cancellation -> Aug: reversal of a top-up request
GEN | [supported_cards_and_currencies] | Orig: how can i transfer money from american express card -> Aug: What methods are available for transferring funds from my American Express card?
GEN | [pending_cash_withdrawal] | Orig: Hello. I looked at my account and see that a transaction I tried to do is pending, but I did not complete that transaction. When I was at the ATM, the machine declined my card. Can you make sure that transaction does not go through because I definitely did not receive the money. -> Aug: I've checked my account and noticed a pending transaction that I didn't complete. The ATM declined my card when I tried to make the withdrawal, and I'm concerned that the transaction might still be processed. Can you cancel it since I didn't receive the cash?
GEN | [atm_support] | Orig: I need help from someone in your department with finding my nearest ATM. -> Aug: I require assistance from your team to locate the closest ATM location.
GEN | [declined_cash_withdrawal] | Orig: Please help me with my card. As i have tried to use my card in two different ATMs but repeatedly it was declining by ATM. -> Aug: I'm having trouble using my card at ATMs. I've tried to withdraw cash from two different machines, but it's been declined each time.
GEN | [pending_cash_withdrawal] | Orig: I have the cash already, my account still shows up as pending.  How can my account be still pending? -> Aug: I've already deposited the cash, yet my account remains pending. Why is my account still showing a pending status?
GEN | [top_up_by_cash_or_cheque] | Orig: i have been trying to top up my account with a check but it won't work -> Aug: I'm having trouble adding funds to my account using a cheque, but it's not processing.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Why did I only receive this much currency? -> Aug: Why was the amount of cash I received not in line with the expected exchange rate?
GEN | [apple_pay_or_google_pay] | Orig: Can I deposit money using Apple Pay? -> Aug: Can I make a payment using Google Pay instead?
GEN | [getting_spare_card] | Orig: Am I gonna be charged for sending out more cards? -> Aug: Will I be charged for requesting additional cards?
GEN | [transaction_charged_twice] | Orig: My card was declined but it shows as multiple charges? -> Aug: I made a purchase, but it looks like I've been charged twice, even though my card was declined.
GEN | [supported_cards_and_currencies] | Orig: I have another card from the U.S. Will you be able to accept that one? -> Aug: I'd like to know if you support cards issued in the United States.
GEN | [card_payment_not_recognised] | Orig: I need to freeze my card as soon as possible. I just checked my account and saw that there have been several payments that I don't recognize over the course of a few days. Can we investigate and get my money back? -> Aug: I'd like to report an issue with an unauthorized payment. I've reviewed my account activity and noticed some transactions that I'm not familiar with. Can you look into this and help me recover the funds?
GEN | [pending_transfer] | Orig: Hello, I went ahead and checked my account details to be sure, and they are definitely correct.  I've had a transfer pending for a while, and I can't understand why it hasn't gone through yet. -> Aug: I've reviewed my account information to confirm everything is accurate, and I'm still waiting for a pending transfer to process.
GEN | [topping_up_by_card] | Orig: Hoe do i use my credit card to transfer money? -> Aug: How can I use my credit card to make a payment or add funds to my account?
GEN | [getting_spare_card] | Orig: Do you send more than one card? -> Aug: Can I get an additional card?
GEN | [exchange_via_app] | Orig: Do you support changing the currency I use? -> Aug: Can I switch the currency I'm using through your app?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I am still awaiting the money I put into my account this morning. -> Aug: I'm still waiting for the funds I deposited into my account earlier today to reflect in my balance.
GEN | [supported_cards_and_currencies] | Orig: Top up my card please, which y'all support? -> Aug: Can you please inform me about the payment methods you accept, specifically the cards you support?
GEN | [top_up_reverted] | Orig: I have a canceled top-up and wanted to know about it. -> Aug: I'm inquiring about a reversed top-up transaction.
GEN | [transfer_fee_charged] | Orig: Hi,  I have transferred money but beneficiary's account is credited with less amount. Now i have transfer the difference of the amount. I think there is some issue, could you please look into this. -> Aug: I recently made a transfer, but the recipient's account was credited with a lower amount than expected. I've since made an additional transfer to cover the difference. Could you please investigate this discrepancy?
GEN | [lost_or_stolen_card] | Orig: I want to block my card or deactivate it or something, it's been stolen and I don't want it misused. I want this handled right away. -> Aug: I'd like to report my card as stolen and request that it be immediately suspended or deactivated to prevent any unauthorized transactions.
GEN | [wrong_amount_of_cash_received] | Orig: You shorted me money when I tried to make a withdrawal. -> Aug: You gave me less cash than I was supposed to get when I withdrew some money.
GEN | [pending_top_up] | Orig: How long after a failed topup will funds refurn to account -> Aug: When will the funds be returned to my account after a failed top-up attempt?
GEN | [top_up_reverted] | Orig: I got an cancellation error when I was topping up. -> Aug: I encountered an error while attempting to make a top-up, and it was cancelled.
GEN | [failed_transfer] | Orig: Can you tell my why my funds transfer did not work properly? -> Aug: Why did my recent transfer fail to process as expected?
GEN | [cash_withdrawal_charge] | Orig: I noticed a different charge while I was taking my money out. -> Aug: I observed an unexpected fee when I withdrew my cash.
GEN | [extra_charge_on_statement] | Orig: There is an extra small charge on my card! What do I do? -> Aug: I noticed an additional fee on my statement. Can you help me understand what it's for?
GEN | [exchange_via_app] | Orig: Can I use this app for both USD and GBP? -> Aug: Can I make exchanges through this app for both US dollars and British pounds?
GEN | [supported_cards_and_currencies] | Orig: Can you accept my other card from the U.S.?  It is the only other one I have. -> Aug: Can you accept my other credit card issued in the United States? It's the only other one I possess.
GEN | [declined_transfer] | Orig: How can I find a way to transfer money without it being rejected? -> Aug: I'm trying to make a transfer, but it keeps getting declined. Can you help me figure out why it's not going through?
GEN | [fiat_currency_support] | Orig: Can I have money of different country of origin. -> Aug: Can I obtain funds in various foreign currencies?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Where is my cash deposit in my balance? -> Aug: Why hasn't my account balance been updated to reflect the cash deposit I made?
GEN | [direct_debit_payment_not_recognised] | Orig: This debit is not my transcation. How do I get my money out back? -> Aug: This direct debit payment is not recognized as my transaction. How can I retrieve my funds?
GEN | [wrong_amount_of_cash_received] | Orig: my cash balance less than what I thought -> Aug: my account shows a lower balance than I expected
GEN | [card_arrival] | Orig: Can I get an update on my replacement card? -> Aug: Could you please let me know when I can expect my new card to arrive?
VAL | [top_up_reverted] | ACCEPT | Reason: N/A | Original: top up cancellation | Augmented: reversal of a top-up request
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: how can i transfer money from american express card | Augmented: What methods are available for transferring funds from my American Express card?
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: N/A | Original: Hello. I looked at my account and see that a transaction I tried to do is pending, but I did not complete that transaction. When I was at the ATM, the machine declined my card. Can you make sure that transaction does not go through because I definitely did not receive the money. | Augmented: I've checked my account and noticed a pending transaction that I didn't complete. The ATM declined my card when I tried to make the withdrawal, and I'm concerned that the transaction might still be processed. Can you cancel it since I didn't receive the cash?
VAL | [atm_support] | ACCEPT | Reason: ... | Original: I need help from someone in your department with finding my nearest ATM. | Augmented: I require assistance from your team to locate the closest ATM location.
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: ... | Original: Please help me with my card. As i have tried to use my card in two different ATMs but repeatedly it was declining by ATM. | Augmented: I'm having trouble using my card at ATMs. I've tried to withdraw cash from two different machines, but it's been declined each time.
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: N/A | Original: I have the cash already, my account still shows up as pending.  How can my account be still pending? | Augmented: I've already deposited the cash, yet my account remains pending. Why is my account still showing a pending status?
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: ... | Original: i have been trying to top up my account with a check but it won't work | Augmented: I'm having trouble adding funds to my account using a cheque, but it's not processing.
VAL | [wrong_exchange_rate_for_cash_withdrawal] | ACCEPT | Reason: ... | Original: Why did I only receive this much currency? | Augmented: Why was the amount of cash I received not in line with the expected exchange rate?
VAL | [apple_pay_or_google_pay] | ACCEPT | Reason: N/A | Original: Can I deposit money using Apple Pay? | Augmented: Can I make a payment using Google Pay instead?
VAL | [getting_spare_card] | ACCEPT | Reason: ... | Original: Am I gonna be charged for sending out more cards? | Augmented: Will I be charged for requesting additional cards?
VAL | [transaction_charged_twice] | ACCEPT | Reason: N/A | Original: My card was declined but it shows as multiple charges? | Augmented: I made a purchase, but it looks like I've been charged twice, even though my card was declined.
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: I have another card from the U.S. Will you be able to accept that one? | Augmented: I'd like to know if you support cards issued in the United States.
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I need to freeze my card as soon as possible. I just checked my account and saw that there have been several payments that I don't recognize over the course of a few days. Can we investigate and get my money back? | Augmented: I'd like to report an issue with an unauthorized payment. I've reviewed my account activity and noticed some transactions that I'm not familiar with. Can you look into this and help me recover the funds?
VAL | [pending_transfer] | ACCEPT | Reason: The augmented text preserves the user's inquiry about a pending transfer and their need for clarification on its status. This aligns with the original intent of discussing a pending transfer. | Original: Hello, I went ahead and checked my account details to be sure, and they are definitely correct.  I've had a transfer pending for a while, and I can't understand why it hasn't gone through yet. | Augmented: I've reviewed my account information to confirm everything is accurate, and I'm still waiting for a pending transfer to process.
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: Hoe do i use my credit card to transfer money? | Augmented: How can I use my credit card to make a payment or add funds to my account?
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: Do you send more than one card? | Augmented: Can I get an additional card?
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: Do you support changing the currency I use? | Augmented: Can I switch the currency I'm using through your app?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: ... | Original: I am still awaiting the money I put into my account this morning. | Augmented: I'm still waiting for the funds I deposited into my account earlier today to reflect in my balance.
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: Top up my card please, which y'all support? | Augmented: Can you please inform me about the payment methods you accept, specifically the cards you support?
VAL | [top_up_reverted] | ACCEPT | Reason: N/A | Original: I have a canceled top-up and wanted to know about it. | Augmented: I'm inquiring about a reversed top-up transaction.
VAL | [transfer_fee_charged] | ACCEPT | Reason: N/A | Original: Hi,  I have transferred money but beneficiary's account is credited with less amount. Now i have transfer the difference of the amount. I think there is some issue, could you please look into this. | Augmented: I recently made a transfer, but the recipient's account was credited with a lower amount than expected. I've since made an additional transfer to cover the difference. Could you please investigate this discrepancy?
VAL | [lost_or_stolen_card] | ACCEPT | Reason: N/A | Original: I want to block my card or deactivate it or something, it's been stolen and I don't want it misused. I want this handled right away. | Augmented: I'd like to report my card as stolen and request that it be immediately suspended or deactivated to prevent any unauthorized transactions.
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: You shorted me money when I tried to make a withdrawal. | Augmented: You gave me less cash than I was supposed to get when I withdrew some money.
VAL | [pending_top_up] | ACCEPT | Reason: ... | Original: How long after a failed topup will funds refurn to account | Augmented: When will the funds be returned to my account after a failed top-up attempt?
VAL | [top_up_reverted] | ACCEPT | Reason: N/A | Original: I got an cancellation error when I was topping up. | Augmented: I encountered an error while attempting to make a top-up, and it was cancelled.
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: Can you tell my why my funds transfer did not work properly? | Augmented: Why did my recent transfer fail to process as expected?
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: N/A | Original: I noticed a different charge while I was taking my money out. | Augmented: I observed an unexpected fee when I withdrew my cash.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: There is an extra small charge on my card! What do I do? | Augmented: I noticed an additional fee on my statement. Can you help me understand what it's for?
VAL | [exchange_via_app] | ACCEPT | Reason: The augmented text does not change the intent, remains specific to the target intent, and is not contradictory to the original intent. | Original: Can I use this app for both USD and GBP? | Augmented: Can I make exchanges through this app for both US dollars and British pounds?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: Can you accept my other card from the U.S.?  It is the only other one I have. | Augmented: Can you accept my other credit card issued in the United States? It's the only other one I possess.
