GEN | [lost_or_stolen_phone] | Orig: I have lost my phone or it has been stolen. -> Aug: I've misplaced my phone or it's been taken from me.
GEN | [lost_or_stolen_phone] | Orig: hello I have lost my phone and I'm worried someone's going to steal money from me -> Aug: I've misplaced my phone and I'm concerned that someone might access my account and make unauthorized transactions.
GEN | [lost_or_stolen_card] | Orig: I lost my wallet and all my cards were in it. -> Aug: I misplaced my wallet, which contained all my credit cards.
GEN | [card_arrival] | Orig: can you share card tracking number? -> Aug: can you provide the tracking number for my card?
GEN | [lost_or_stolen_phone] | Orig: Can my account me accessed by a thief?  I was mugged. -> Aug: Can my account be accessed by an unauthorized person? I had my phone stolen.
GEN | [lost_or_stolen_phone] | Orig: I got mugged yesterday and they took everything. I can't use the app, so I need some help. -> Aug: I was robbed yesterday and they took my phone. I'm unable to access the app, so I require assistance.
GEN | [card_arrival] | Orig: I would like to track the card you sent to me. -> Aug: I'd like to check on the status of the card that was mailed to me.
GEN | [lost_or_stolen_phone] | Orig: I can't use the app because I got mugged yesterday and they took everything. I need some help. -> Aug: I'm having trouble accessing the app because my phone was stolen during a mugging incident yesterday and I'm in need of assistance.
GEN | [card_arrival] | Orig: Can you tell me if I can track the card you sent me? -> Aug: Can you help me locate the card that was dispatched to me?
GEN | [lost_or_stolen_phone] | Orig: I was mugged.  They took everything.  I can't use the app.  What do I do? -> Aug: I had my phone stolen during a robbery. The thief took everything, including my phone. I'm unable to access the app. What can I do to resolve this issue?
GEN | [declined_transfer] | Orig: Hello. My credit keeps being declined, last night and again today, as I try to buy something. What is the status of my card? -> Aug: Hi, I've been experiencing issues with my credit card being declined, both yesterday evening and this morning when I tried to make a purchase. Could you please let me know the current status of my card?
GEN | [lost_or_stolen_phone] | Orig: Help me.  My phone has been lost or stolen! -> Aug: I need assistance. My mobile device has gone missing or was taken without my consent.
GEN | [lost_or_stolen_phone] | Orig: I can't use the app because I got mugged yesterday and they took everything. Please help. -> Aug: I'm having trouble accessing the app because my phone was stolen during a mugging incident yesterday. Can you assist me?
GEN | [card_arrival] | Orig: Can I track the card you sent to me? -> Aug: Can I check the status of the card that was mailed to me?
GEN | [lost_or_stolen_phone] | Orig: I need help- I got mugged yesterday and they took everything so I can't use the app. -> Aug: I'm in a bit of a bind - I was robbed yesterday and they took my phone, which means I'm unable to access the app.
GEN | [direct_debit_payment_not_recognised] | Orig: hey, I think someone stole my card numbers. There is a purchase showing up on my app from a store pretty far away from me.. I really need that money back to pay my rent. -> Aug: I'm concerned that someone has compromised my card information, as I've noticed an unauthorized transaction on my app from a location that's not near my usual shopping spots. I'm counting on getting that refund to cover my rent payment.
GEN | [card_arrival] | Orig: Can you track my card for me? -> Aug: Could you please help me locate my card?
GEN | [lost_or_stolen_phone] | Orig: My phone is missing. -> Aug: My phone has gone missing.
GEN | [lost_or_stolen_phone] | Orig: Yesterday I had my phone stolen.  Please advise what I should do. -> Aug: My phone was taken from me yesterday. Can you guide me on what I should do next?
GEN | [lost_or_stolen_phone] | Orig: What should I do if someone stole my phone? -> Aug: What should I do if my phone has been stolen?
GEN | [lost_or_stolen_phone] | Orig: my phone has been stolen by someone -> Aug: my phone has been taken away by an unknown person
GEN | [lost_or_stolen_phone] | Orig: stolen phone, what should i do -> Aug: my phone has been stolen, what are my next steps?
GEN | [verify_top_up] | Orig: What is the verification process used for? -> Aug: How does the verification process work?
GEN | [card_arrival] | Orig: how can i track card you sent -> Aug: how do i follow up on the card you dispatched?
GEN | [lost_or_stolen_phone] | Orig: Please help!  I was mugged and everything stolen.  What do I do to stop them from accessing my account? -> Aug: I'm in a bit of a panic - I was robbed and my phone was taken, which means they have access to my account. Can you please assist me in securing my account to prevent any unauthorized transactions?
GEN | [get_physical_card] | Orig: Do you deliver the PIN separately? -> Aug: Can you provide the physical card separately, including the PIN?
GEN | [lost_or_stolen_phone] | Orig: What should I do if my phone is lost or stolen? -> Aug: If my mobile device has gone missing or been taken, what steps should I take?
GEN | [why_verify_identity] | Orig: Can i make transactions before identity verification? -> Aug: Can I initiate transactions before completing the identity verification process?
GEN | [card_arrival] | Orig: Is it possible to track the card you sent me? -> Aug: Can I check the status of the card I received from you?
GEN | [lost_or_stolen_phone] | Orig: What should I do if my smart phone is lost or stolen? -> Aug: If my mobile device has gone missing or been taken, what steps should I take?
GEN | [lost_or_stolen_phone] | Orig: Do I need to do anything? My phone was stolen yesterday. -> Aug: What steps should I take? My phone was taken from me yesterday.
GEN | [lost_or_stolen_phone] | Orig: I can't find my phone and I'm worried someone is going to use it -> Aug: I've misplaced my phone and I'm concerned that someone might be able to access it
GEN | [card_arrival] | Orig: Was there a way for me to get tracking for that? -> Aug: Could you please provide me with tracking information for my card arrival?
GEN | [card_arrival] | Orig: Can the card was sen to me be tracked? -> Aug: Can I track the card that was sent to me?
