GEN | [extra_charge_on_statement] | Orig: What does the €1 fee mean? -> Aug: You're referring to the extra charge on your statement? It's a one-time fee for a specific service or transaction.
GEN | [extra_charge_on_statement] | Orig: What is this €1 charge? -> Aug: We noticed an additional €1 charge on your recent statement. Can you please clarify what this extra fee is for?
GEN | [extra_charge_on_statement] | Orig: Where did the  €1 fee in my statement come from -> Aug: Can you explain the €1 charge on my recent statement?
GEN | [extra_charge_on_statement] | Orig: What is this extra €1 fee about? -> Aug: A charge has been added to your statement, can you tell me more about it?
GEN | [extra_charge_on_statement] | Orig: What is the extra €1 on my statement for? -> Aug: Can you please explain the additional €1 charge on my recent statement?
GEN | [extra_charge_on_statement] | Orig: what was the $1 fee i got -> Aug: what is the additional charge I noticed on my statement?
GEN | [exchange_charge] | Orig: is there a foreign currencies charge? -> Aug: Are there any foreign currency exchange fees or charges?
GEN | [transaction_charged_twice] | Orig: Why did I get charged twice for the same thing -> Aug: I was mistakenly billed for the same transaction twice
GEN | [transaction_charged_twice] | Orig: I was charged multiple times at the same location at the same time -> Aug: I was double-charged for the same transaction at the same location and date
GEN | [extra_charge_on_statement] | Orig: I've been charged an extra £1 and I don't know what it's for -> Aug: I've noticed an unexpected extra charge of £1 on my statement and I'd like to know what it's for
GEN | [transaction_charged_twice] | Orig: I think I got charged twice for the same thing -> Aug: I'm pretty sure I was double-billed for the same transaction
GEN | [extra_charge_on_statement] | Orig: Why have I been charged an extra £1? -> Aug: Why was I unexpectedly charged an additional fee on my statement?
GEN | [transaction_charged_twice] | Orig: Why am I being charged for the same thing twice? -> Aug: I've been double-charged for the same transaction, can you help me resolve this issue?
GEN | [extra_charge_on_statement] | Orig: Why do I see an extra €1 charge on my statement? -> Aug: I noticed an additional €2 fee on my recent statement. Can you explain why it's there?
GEN | [extra_charge_on_statement] | Orig: Why i'm I being charged an extra pound -> Aug: Why am I being charged an additional fee on my statement?
GEN | [transaction_charged_twice] | Orig: Why was I charged twice for the same thing? -> Aug: I was mistakenly billed for the same transaction twice, can you help me resolve this issue?
GEN | [extra_charge_on_statement] | Orig: Why have I been charged an extra pound? -> Aug: Why is there an additional fee on my statement?
GEN | [order_physical_card] | Orig: Is a physical charge extra -> Aug: Is there an additional fee for a physical credit card?
GEN | [transaction_charged_twice] | Orig: What happens when I am charged twice? -> Aug: I've been mistakenly billed for the same transaction twice. Can you help me resolve this issue?
GEN | [extra_charge_on_statement] | Orig: Why did you guys charge me an extra €1? -> Aug: Why was there an additional €1 charge on my statement?
GEN | [transaction_charged_twice] | Orig: Why have I been charged twice? -> Aug: I've been mistakenly billed for the same transaction twice.
GEN | [card_payment_fee_charged] | Orig: What are these fees i am paying? -> Aug: I'm happy to help you understand the fees associated with your recent card payment. Can you please provide me with your transaction details so I can assist you further?
GEN | [extra_charge_on_statement] | Orig: €1 was in my statement as an extra fee. -> Aug: A charge of €1 was added to my statement as an additional fee.
GEN | [extra_charge_on_statement] | Orig: Why is there an extra €1 fee in my statement? -> Aug: What is the reason for the additional €1 charge on my recent statement?
GEN | [extra_charge_on_statement] | Orig: Why was I charged extra on my app? -> Aug: I noticed an unexpected extra charge on my statement. Can you help me understand why it was added?
GEN | [transaction_charged_twice] | Orig: I have been charged for one thing two times. -> Aug: I've been double-charged for a single transaction.
GEN | [card_payment_not_recognised] | Orig: I've never been to that store.  That's a fraudulent charge. -> Aug: I'm not familiar with that merchant. This transaction appears to be unauthorized.
GEN | [extra_charge_on_statement] | Orig: Is the 1 pound charge going to be reimbursed on my card? -> Aug: Will the additional £1 charge be credited back to my account on my next statement?
GEN | [extra_charge_on_statement] | Orig: Why is there a 1 euro fee on my statement? -> Aug: We noticed an additional charge on your recent statement. Can you please clarify what this extra fee is for?
GEN | [transaction_charged_twice] | Orig: Why am i being double charged for something? -> Aug: I've been mistakenly charged twice for a single transaction.
GEN | [transaction_charged_twice] | Orig: Why did I get charged more than once? -> Aug: I was mistakenly billed for the same transaction twice.
GEN | [compromised_card] | Orig: Someone might have had access to my card. -> Aug: It's possible that someone else has obtained my card.
GEN | [transaction_charged_twice] | Orig: I was charged two times for the same thing. -> Aug: I was mistakenly billed twice for the same transaction.
GEN | [compromised_card] | Orig: What do I do if I believe to be a victim of credit card fraud? -> Aug: If I suspect my credit card has been compromised, what steps can I take to protect my account and report the issue?
GEN | [transaction_charged_twice] | Orig: I was charged twice for the same thing. -> Aug: I was mistakenly billed for the same transaction twice.
GEN | [extra_charge_on_statement] | Orig: I have been charged a pound for something that appears on my statement -> Aug: I've noticed an unexpected charge on my statement for £1 that I'd like to understand the reason behind.
GEN | [extra_charge_on_statement] | Orig: Why was I charged an extra pound? -> Aug: I was surprised to see an additional fee on my statement. Can you explain why I was charged extra?
GEN | [card_payment_fee_charged] | Orig: Why did I get charged extra? -> Aug: I was surprised to see an additional fee on my statement. Can you explain why I was charged this extra amount?
GEN | [exchange_charge] | Orig: Will I get charged on a foreign currencies exchange? -> Aug: Will I be charged a fee for exchanging foreign currencies?
GEN | [extra_charge_on_statement] | Orig: Why do I see an extra £1 charge on my statement? -> Aug: I'm showing an additional £1 fee on my statement, can you explain why?
