GEN | [card_not_working] | Orig: Currently my card is broken. -> Aug: My credit card is malfunctioning.
GEN | [compromised_card] | Orig: My card has been compromised. I see a bunch of online shopping charges that I didn't make. I need to freeze it immediately. -> Aug: My credit card has been compromised. I've noticed a series of unauthorized transactions on my account, including online purchases I didn't authorize. I urgently need to suspend its use to prevent further unauthorized activity.
GEN | [order_physical_card] | Orig: Can I revive a physical card. -> Aug: Can I reorder a physical credit card?
GEN | [transaction_charged_twice] | Orig: My card is showing the same transaction over and over again. -> Aug: I'm seeing a duplicate transaction on my statement.
GEN | [card_payment_not_recognised] | Orig: I need to freeze my card as soon as possible. I just checked my account and saw that there have been several payments that I don't recognize over the course of a few days. Can we investigate and get my money back? -> Aug: I'm concerned about unauthorized transactions on my account. I've noticed some payments that I didn't make, and I'd like to report them and get my funds restored.
GEN | [edit_personal_details] | Orig: I just got married and need to change my name on the account -> Aug: I recently changed my marital status and would like to update my personal details, specifically my name, on my account.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I am worried about the amount of my cheque, which should be credited to my account few days before. As i have already sent you the cheque. -> Aug: I'm concerned that my account balance hasn't been updated after I deposited a cheque, which I mailed a few days ago.
GEN | [direct_debit_payment_not_recognised] | Orig: I'm checking my statements and I saw a purchase from a couple weeks ago that I don't recall at all. Not only that, but I don't even know the business that charged it. I'm not sure if I did it or not, but can we check it and see if we can trace it back to make certain? -> Aug: I'm reviewing my account activity and noticed a transaction from a few weeks ago that I don't recognize. The merchant's name is unfamiliar to me, and I'm unsure if I authorized the payment. Could you please investigate and verify the transaction to confirm whether it was a legitimate charge?
GEN | [direct_debit_payment_not_recognised] | Orig: Am I able to look back at a transaction to see who with drawled some money from my account? I don't remember authorizing this a few weeks ago, but wanted to double check who took the money. -> Aug: Can I review a past transaction to identify the payee who withdrew funds from my account? I'm concerned about an unauthorized direct debit that occurred a few weeks ago and would like to verify the recipient's details.
GEN | [country_support] | Orig: I need a new card and I live in the United States. -> Aug: I require a replacement card and I am a resident of the United States.
GEN | [country_support] | Orig: where do you have locations at -> Aug: where are your branches located
GEN | [card_about_to_expire] | Orig: I think my card is expiring, what happens then? -> Aug: I'm concerned my credit card is approaching its expiration date, what are the consequences?
GEN | [transfer_into_account] | Orig: What are my bank details so I can do a transfer? -> Aug: Can you please provide me with your account information so I can facilitate a transfer into your account?
GEN | [compromised_card] | Orig: I have some transactions on my account I did not make. Can you cancel my card and prevent further use. -> Aug: I'm concerned about unauthorized activity on my account. Can you suspend my card and prevent any further transactions?
GEN | [reverted_card_payment?] | Orig: Ive been trying to use my card for two weeks now to purchase somethings online but nothing is going through. It keeps returning my payment to my account. There shouldn't be anything wrong with my account, is it the card? -> Aug: I've been attempting to use my card for a couple of weeks to make online purchases, but all transactions are being reversed back to my account. Could there be an issue with the card itself?
GEN | [card_payment_not_recognised] | Orig: This card payment isn't is recognition. -> Aug: This card payment is not recognized.
GEN | [cash_withdrawal_not_recognised] | Orig: I AM MISSING CASH FROM MY BANK ACCOUNT ACCORDING TO MY APP -> Aug: I AM UNABLE TO LOCATE A RECENT CASH WITHDRAWAL FROM MY ACCOUNT AS RECORDED IN MY ONLINE STATEMENT.
GEN | [pending_transfer] | Orig: I have a pending transaction -> Aug: I have a transfer in progress
GEN | [cash_withdrawal_not_recognised] | Orig: I want my card frozen right away. Money was taken out in an odd location I have never heard of. -> Aug: I need immediate assistance with my account. I'm concerned about an unauthorized cash withdrawal that was made at an unfamiliar location.
GEN | [transfer_fee_charged] | Orig: who charged my card -> Aug: who is responsible for charging the transfer fee on my card
GEN | [supported_cards_and_currencies] | Orig: Please let me know what currency I can use to top up my account? -> Aug: Please inform me about the available currencies and cards I can use to replenish my account balance.
GEN | [card_payment_fee_charged] | Orig: i have used my card online before and wasn't charged, why am i charged now -> Aug: I've made online transactions with my card previously without being charged a fee, so I'm confused as to why I'm being charged a fee this time.
GEN | [cash_withdrawal_not_recognised] | Orig: There is money missing from my account. -> Aug: We've noticed an unexpected discrepancy in your account balance.
GEN | [cash_withdrawal_not_recognised] | Orig: there is money in my account that i didnt put there -> Aug: the funds in my account are not mine and I didn't deposit them
GEN | [direct_debit_payment_not_recognised] | Orig: I haven't used my card all day but there is a payment showing in the app. Please cancel it! -> Aug: I'm showing a payment in the app that I didn't initiate, can you help me stop it?
GEN | [transfer_into_account] | Orig: What transfer methods do you accept? -> Aug: What payment methods do you support for transferring funds into an account?
GEN | [visa_or_mastercard] | Orig: Can I get a Visa or does it have to be something else. -> Aug: Can I get a Mastercard or does it have to be something else?
GEN | [receiving_money] | Orig: My salary is in GBP, do I need to exchange it before putting it into my account? -> Aug: Can I deposit my GBP salary directly into my account, or do I need to convert it to a different currency first?
GEN | [activate_my_card] | Orig: I couldn't complete card activation. -> Aug: I'm having trouble activating my card.
GEN | [balance_not_updated_after_bank_transfer] | Orig: I did a transfer but the balance is the same. -> Aug: I made a transfer, but my account balance hasn't been updated.
GEN | [lost_or_stolen_card] | Orig: I want to block my card or deactivate it or something, it's been stolen and I don't want it misused. I want this handled right away. -> Aug: I'd like to report my card as stolen and request it be blocked or deactivated immediately to prevent any unauthorized transactions.
GEN | [card_payment_wrong_exchange_rate] | Orig: Does the fee for exchange change? -> Aug: Is the exchange rate fee applicable to my card payment?
GEN | [card_about_to_expire] | Orig: My card's expiration date is close. -> Aug: Your credit card's expiration date is approaching.
GEN | [declined_transfer] | Orig: How do I make my transfer go through -> Aug: Why was my transfer declined and how can I resolve the issue?
GEN | [direct_debit_payment_not_recognised] | Orig: I know this very late, but I just went through my statements from the last couple months and there's one quite large-ish payment that I definitely haven't made. Is it still possible to dispute it? -> Aug: I've reviewed my recent statements and noticed a significant payment that I'm certain I didn't make. Can I still contest it?
GEN | [pending_transfer] | Orig: Hello, I went ahead and checked my account details to be sure, and they are definitely correct.  I've had a transfer pending for a while, and I can't understand why it hasn't gone through yet. -> Aug: Hello, I've reviewed my account information to confirm it's accurate. I've had a transfer in a pending state for some time, and I'm still unsure why it hasn't been processed yet.
GEN | [receiving_money] | Orig: Do I need to add my salary? -> Aug: Do I need to include my income?
GEN | [beneficiary_not_allowed] | Orig: I cant transfer money into my account -> Aug: You are not authorized to receive funds into your account.
