GEN | [visa_or_mastercard] | Orig: I want a Mastercard, instead. -> Aug: I'd prefer a Visa, if possible.
GEN | [disposable_card_limits] | Orig: On my disposable card, is there a transaction limit? -> Aug: Can you please confirm the transaction limit on my disposable card?
GEN | [compromised_card] | Orig: What do I do if I detect fraudulent use on my car? -> Aug: What do I do if I suspect unauthorized activity on my compromised card?
GEN | [getting_spare_card] | Orig: Is a new debit card free? -> Aug: Can I get a new debit card without any additional fees?
GEN | [visa_or_mastercard] | Orig: This transaction needs both a Visa and a Mastercard. -> Aug: This transaction requires both a Visa and a Mastercard.
GEN | [declined_cash_withdrawal] | Orig: what is my monthly spending limit because i was refused my money at an atm -> Aug: I'm sorry to hear that your cash withdrawal was declined. Can you please check your available balance or recent transactions to see if there's any issue with your account? You can also check your monthly spending limit by logging into your online banking account or contacting our customer service team.
GEN | [change_pin] | Orig: How can I change my Rowlock ? -> Aug: How can I modify my PIN?
GEN | [visa_or_mastercard] | Orig: Please give me a Mastercard instead. -> Aug: Please provide me with a Visa or Mastercard.
GEN | [pending_transfer] | Orig: I have a trasnger that is pending and wondered about it. -> Aug: I have a transfer that is pending and I was wondering about its status.
GEN | [get_disposable_virtual_card] | Orig: What systems do you have in place for my security when using my card for everyday purchases? -> Aug: How do you ensure the security of my virtual disposable card for online transactions?
GEN | [get_disposable_virtual_card] | Orig: How can I get a virtual card for a one-time transaction? -> Aug: Can I obtain a disposable virtual card for a single-use payment?
GEN | [pending_top_up] | Orig: Im trying to top up my card but it's still pending and it's been an hour. Is there any way to make it go through faster? Do I not have enough? -> Aug: I'm attempting to make a top-up transaction, but it's still pending and has been pending for an hour. Is there a way to expedite the process or is there an issue with my account balance?
GEN | [visa_or_mastercard] | Orig: I won't be pleased unless I get a Mastercard. -> Aug: I won't be satisfied unless I get a Visa or Mastercard.
GEN | [getting_spare_card] | Orig: I need more physical cards than I have right now! -> Aug: I require additional physical debit/credit cards to replace the ones I'm currently using.
GEN | [cash_withdrawal_charge] | Orig: How much money can I withdraw before fees? I noticed a fee on my card but I didn't think I had hit the limit of how much I could withdraw in a month. -> Aug: Can you tell me about the cash withdrawal charge? I'm trying to understand when I'll be charged a fee for taking out cash from my account.
GEN | [pending_cash_withdrawal] | Orig: Explain pending transactions. -> Aug: Describe the status of your cash withdrawal request.
GEN | [top_up_by_bank_transfer_charge] | Orig: How much will it cost me for a SEPA transfer? -> Aug: What is the fee for a bank transfer top-up?
GEN | [compromised_card] | Orig: card is being used by someone else -> Aug: Someone else is using my card without my permission.
GEN | [card_linking] | Orig: I have one of your cards, but I don't know how to link it. -> Aug: I'm having trouble linking one of my cards to my account.
GEN | [get_disposable_virtual_card] | Orig: I'm not sure how disposable virtual cards work. Please help. -> Aug: Can you explain the process of obtaining a disposable virtual card? I'm a bit unclear on how it works.
GEN | [passcode_forgotten] | Orig: I don't know the code for the app. -> Aug: I've forgotten the passcode for the mobile banking app.
GEN | [getting_virtual_card] | Orig: Which part of the app do I order virtual cards from? -> Aug: Where can I find the option to request a virtual card within the app?
GEN | [compromised_card] | Orig: How do I stop fraud to my card? -> Aug: What steps can I take to prevent unauthorized transactions on my compromised card?
GEN | [getting_virtual_card] | Orig: explain the virtual card -> Aug: What is the process for obtaining a virtual card?
GEN | [passcode_forgotten] | Orig: I can't find my code -> Aug: I've misplaced my passcode
GEN | [request_refund] | Orig: It's been over a month and i still haven't received my goods! I ordered a pencil for crying out loud, it's not that hard to deliver that! I'm done with these people, give me a refund immediately! I'll search for my Japanese exclusive pencil elsewhere! -> Aug: I've been waiting for over a month and haven't received my order, which was a simple pencil. I'm extremely frustrated and demand a refund as soon as possible. I'll take my business elsewhere if this issue isn't resolved promptly.
GEN | [getting_spare_card] | Orig: how is it possible to add another card to account -> Aug: Can I request a new card to be added to my account?
GEN | [disposable_card_limits] | Orig: I need several cards per day. And I need to be able to throw away all of the cards I make. -> Aug: I require a high daily limit on my disposable card, allowing me to generate multiple cards and dispose of them as needed.
GEN | [virtual_card_not_working] | Orig: Can I use my virtual card to complete transactions for memberships? -> Aug: Can I use my virtual credit card to make payments for subscription services?
GEN | [card_payment_not_recognised] | Orig: Could you please put a freeze on my card?  There are some payments on it that I don't know where they came from. -> Aug: We've noticed an unusual payment on your card and would like to investigate further. Could you please confirm whether you authorized these transactions?
GEN | [cash_withdrawal_charge] | Orig: Do you charge for cash withdrawals?  I want to get my hands on my own money and you appear to be charging me for the pleasure! Why is this, you'd never get this with my high street bank! -> Aug: Are there any fees associated with making a cash withdrawal from your account? I'm surprised to see that you're charging me for accessing my own funds, whereas my local bank doesn't impose such a charge.
GEN | [pending_card_payment] | Orig: When is a payment I made with my card going to clear> -> Aug: When will the payment I made using my card be processed and cleared?
GEN | [pin_blocked] | Orig: How do I take a block off my card? -> Aug: What can I do to unblock my debit/credit card?
GEN | [top_up_by_bank_transfer_charge] | Orig: What does it cost to receive a SEPA transfer? -> Aug: What is the fee for a bank transfer top-up?
