GEN | [card_payment_fee_charged] | Orig: This fee shouldn't be there after I paid with a card. -> Aug: I'm surprised to see a fee on my statement after using my credit card for the transaction.
GEN | [balance_not_updated_after_bank_transfer] | Orig: How can I fix my bank transfer to show up on my bank account? -> Aug: Why hasn't my recent bank transfer reflected in my account balance?
GEN | [country_support] | Orig: Which countries are represented? -> Aug: Which nations are included in our international support?
GEN | [apple_pay_or_google_pay] | Orig: top up for my american express card is not working -> Aug: Why is my Apple Pay or Google Pay not working for topping up my American Express card?
GEN | [card_payment_wrong_exchange_rate] | Orig: My payment had a wrong exchange rate. -> Aug: The exchange rate used for my recent payment was incorrect.
GEN | [pending_cash_withdrawal] | Orig: How long does it take for a cash withdrawal to show? -> Aug: When can I expect to see the cash withdrawal processed and reflected in my account?
GEN | [card_linking] | Orig: Can I reactivate a card? -> Aug: Can I reissue a card?
GEN | [transfer_into_account] | Orig: I want to top up by transfering accounts, What do I do? -> Aug: I'd like to transfer funds from one account to another, how can I do that?
GEN | [pending_cash_withdrawal] | Orig: The cash I deposited using the ATM is still pending -> Aug: The funds I transferred from the ATM are still awaiting processing
GEN | [verify_my_identity] | Orig: How do I verify my identity? -> Aug: To confirm my identity, what information do I need to provide to complete the verification process?
GEN | [card_payment_fee_charged] | Orig: I was made to pay a fee for making a transaction with card. -> Aug: I was unexpectedly charged a fee for using my card to make a payment.
GEN | [visa_or_mastercard] | Orig: I would like to get a Visa card -> Aug: I would like to obtain a Mastercard
GEN | [top_up_failed] | Orig: Why was my top-up rejected? -> Aug: I'm unable to complete my top-up transaction. What's the reason for the failure?
GEN | [lost_or_stolen_card] | Orig: I think my wallet fell out on the Tube today! I realized as soon as I got to my desk. How do I cut off the card? -> Aug: I'm pretty sure I left my wallet on the bus and I just got to the office. I'm worried someone might use my card. Can I report it lost or stolen?
GEN | [supported_cards_and_currencies] | Orig: What are the acceptable currencies for adding funds? -> Aug: What currencies are accepted for depositing funds?
GEN | [terminate_account] | Orig: Help me close my account. -> Aug: Can you assist me in canceling my account?
GEN | [pending_card_payment] | Orig: What does it mean if my payment is pending? -> Aug: Your payment is being processed, and we're waiting for the payment to be confirmed by your bank before it's credited to your account.
GEN | [age_limit] | Orig: How old does one need to be? -> Aug: What is the minimum age requirement?
GEN | [change_pin] | Orig: Help me change my PIN. -> Aug: I'd like to update my PIN.
GEN | [card_linking] | Orig: I have a card that was deactivated can I reactivate it? -> Aug: I'd like to reactivate a card that was previously deactivated, is that possible?
GEN | [edit_personal_details] | Orig: Am I able to modify my account details? -> Aug: Can I update my personal information?
GEN | [top_up_failed] | Orig: I tried to top up my account and it didn't work -> Aug: I attempted to add funds to my account, but the transaction was unsuccessful
GEN | [terminate_account] | Orig: Is it possible to delete the account? -> Aug: Can I close my account and terminate the service?
GEN | [lost_or_stolen_phone] | Orig: I lost my phone, what should I do? -> Aug: I misplaced my mobile device and need assistance with reporting it as lost.
GEN | [card_delivery_estimate] | Orig: can you express my card to me? -> Aug: Can you provide an estimated delivery date for my card?
GEN | [cash_withdrawal_not_recognised] | Orig: Why is my app showing me taking money that I did not take out? -> Aug: I'm showing a withdrawal transaction on my account that I didn't make, what's going on?
GEN | [pending_transfer] | Orig: I wanted to know why there is a transfer of mine pending. -> Aug: I'm trying to understand the status of a transfer I initiated.
GEN | [cash_withdrawal_charge] | Orig: I was told that withdrawing cash from the ATM is free, but I'm charged a fee. Why is this? -> Aug: I was informed that I wouldn't be charged a fee for withdrawing cash from the ATM, but I was surprised to see a charge on my statement. Can you explain why I was still charged a fee?
GEN | [automatic_top_up] | Orig: I heard you have an auto-top up option, where do I find that? -> Aug: I'm looking to set up an automatic top-up feature on my account, can you guide me on how to do that?
GEN | [transfer_fee_charged] | Orig: I had an unexpected fee -> Aug: I was surprised to see an additional charge
GEN | [pending_cash_withdrawal] | Orig: I have a withdrawal waiting to go through. -> Aug: I'm still waiting for my cash withdrawal to be processed.
GEN | [fiat_currency_support] | Orig: What currencies can I exchange? -> Aug: What types of fiat currencies are available for exchange?
GEN | [transaction_charged_twice] | Orig: I noticed that my card was charged more than once for one thing. -> Aug: I've been double-charged for a single transaction.
GEN | [receiving_money] | Orig: Can I receive my salary with this in another currency? -> Aug: Can I receive my paycheck in a different currency?
GEN | [card_payment_not_recognised] | Orig: Hello, i just checked my statement and there seems to be a payment from my card that I have never seen before. -> Aug: I've reviewed my recent statement and noticed an unfamiliar payment made using my card, which I'm not aware of.
GEN | [verify_source_of_funds] | Orig: Can I see my available money? -> Aug: Can you confirm the source of the funds in my account before I check my available balance?
VAL | [card_payment_fee_charged] | NO | Text: I'm surprised to see a fee on my statement after using my credit card for the transaction.
VAL | [balance_not_updated_after_bank_transfer] | YES | Text: Why hasn't my recent bank transfer reflected in my account balance?
VAL | [country_support] | YES | Text: Which nations are included in our international support?
VAL | [apple_pay_or_google_pay] | NO | Text: Why is my Apple Pay or Google Pay not working for topping up my American Express card?
VAL | [card_payment_wrong_exchange_rate] | YES | Text: The exchange rate used for my recent payment was incorrect.
VAL | [pending_cash_withdrawal] | NO | Text: When can I expect to see the cash withdrawal processed and reflected in my account?
VAL | [card_linking] | NO | Text: Can I reissue a card?
VAL | [transfer_into_account] | YES | Text: I'd like to transfer funds from one account to another, how can I do that?
VAL | [pending_cash_withdrawal] | YES | Text: The funds I transferred from the ATM are still awaiting processing
VAL | [verify_my_identity] | YES | Text: To confirm my identity, what information do I need to provide to complete the verification process?
VAL | [card_payment_fee_charged] | YES | Text: I was unexpectedly charged a fee for using my card to make a payment.
VAL | [visa_or_mastercard] | NO | Text: I would like to obtain a Mastercard
VAL | [top_up_failed] | YES | Text: I'm unable to complete my top-up transaction. What's the reason for the failure?
VAL | [lost_or_stolen_card] | YES | Text: I'm pretty sure I left my wallet on the bus and I just got to the office. I'm worried someone might use my card. Can I report it lost or stolen?
VAL | [supported_cards_and_currencies] | YES | Text: What currencies are accepted for depositing funds?
VAL | [terminate_account] | YES | Text: Can you assist me in canceling my account?
VAL | [pending_card_payment] | YES | Text: Your payment is being processed, and we're waiting for the payment to be confirmed by your bank before it's credited to your account.
VAL | [age_limit] | YES | Text: What is the minimum age requirement?
VAL | [change_pin] | YES | Text: I'd like to update my PIN.
VAL | [card_linking] | NO | Text: I'd like to reactivate a card that was previously deactivated, is that possible?
VAL | [edit_personal_details] | YES | Text: Can I update my personal information?
VAL | [top_up_failed] | YES | Text: I attempted to add funds to my account, but the transaction was unsuccessful
VAL | [terminate_account] | YES | Text: Can I close my account and terminate the service?
VAL | [lost_or_stolen_phone] | YES | Text: I misplaced my mobile device and need assistance with reporting it as lost.
VAL | [card_delivery_estimate] | YES | Text: Can you provide an estimated delivery date for my card?
VAL | [cash_withdrawal_not_recognised] | YES | Text: I'm showing a withdrawal transaction on my account that I didn't make, what's going on?
VAL | [pending_transfer] | YES | Text: I'm trying to understand the status of a transfer I initiated.
VAL | [cash_withdrawal_charge] | YES | Text: I was informed that I wouldn't be charged a fee for withdrawing cash from the ATM, but I was surprised to see a charge on my statement. Can you explain why I was still charged a fee?
VAL | [automatic_top_up] | YES | Text: I'm looking to set up an automatic top-up feature on my account, can you guide me on how to do that?
VAL | [transfer_fee_charged] | YES | Text: I was surprised to see an additional charge
VAL | [pending_cash_withdrawal] | YES | Text: I'm still waiting for my cash withdrawal to be processed.
VAL | [fiat_currency_support] | YES | Text: What types of fiat currencies are available for exchange?
VAL | [transaction_charged_twice] | YES | Text: I've been double-charged for a single transaction.
VAL | [receiving_money] | YES | Text: Can I receive my paycheck in a different currency?
VAL | [card_payment_not_recognised] | YES | Text: I've reviewed my recent statement and noticed an unfamiliar payment made using my card, which I'm not aware of.
VAL | [verify_source_of_funds] | NO | Text: Can you confirm the source of the funds in my account before I check my available balance?
