GEN | [transfer_not_received_by_recipient] | Orig: How can I the person see my money transaction? -> Aug: Why hasn't the recipient received the money from my recent transaction?
GEN | [reverted_card_payment?] | Orig: I purchased something and already received it, why hasn't the money taken out? -> Aug: I made a payment for an item I've already received, but the amount hasn't been deducted from my account. Can you help me understand why?
GEN | [transfer_not_received_by_recipient] | Orig: My cash transaction isn't showing on my receipt -> Aug: The funds from my recent transfer haven't been credited to the recipient's account.
GEN | [lost_or_stolen_phone] | Orig: Do I need my phone to use the app? -> Aug: I accidentally left my phone at home and I'm trying to access my account, can I still do it without my phone?
GEN | [lost_or_stolen_phone] | Orig: I left my phone at the hotel. -> Aug: I misplaced my phone at the hotel where I stayed.
GEN | [pending_card_payment] | Orig: How long does it actually take my card payment to make it to the account? I've made a payment a couple of days ago but it hasn't moved since. -> Aug: I'd be happy to help you with that! Can you please confirm the payment amount and the date you made the payment? Additionally, could you please check if the payment was made using a credit or debit card? This information will help me better assist you in tracking the status of your pending card payment.
GEN | [visa_or_mastercard] | Orig: I anticipate getting a Visa card -> Aug: I'm expecting to receive a Mastercard
GEN | [top_up_by_bank_transfer_charge] | Orig: Are SWIFT Transfers available at this bank? -> Aug: Can I use a SWIFT transfer to top up my account from another bank, and what are the associated charges for this service?
GEN | [receiving_money] | Orig: can my husband open an account and transfer money -> Aug: Can my spouse create an account and deposit funds?
GEN | [pending_transfer] | Orig: As I double checked that I have the correct account details that i submitted , they're right for sure. Transfer is still pending so far. -> Aug: I've reconfirmed my account information, and it's accurate. The transfer remains pending at this time.
GEN | [getting_spare_card] | Orig: How much is it to buy another card? I was hoping to buy another one. -> Aug: I'd like to purchase a replacement card, could you please let me know the cost?
GEN | [card_arrival] | Orig: Is there a way I can get my card expedited? -> Aug: Can I request express shipping for my card delivery?
GEN | [receiving_money] | Orig: What do I need to do to receive my payroll in the account? -> Aug: How can I get my payroll deposited into my account?
GEN | [transfer_timing] | Orig: When will my money be in my account? -> Aug: When can I expect the funds to be deposited into my account?
GEN | [verify_source_of_funds] | Orig: where are the transfers originating -> Aug: Can you please confirm the source of the funds for the recent transactions?
GEN | [apple_pay_or_google_pay] | Orig: I am having a slight problem with my American express in apple play, can you help me fix the problem with top up? -> Aug: I'm experiencing an issue with my American Express account on Google Pay, can you assist me in resolving the problem with a top-up?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: where is my money from this morning -> Aug: why hasn't my account balance been updated after the cash deposit I made this morning?
GEN | [compromised_card] | Orig: It looks like someone besides me ordered something with my card, what should I do? -> Aug: It appears that an unauthorized transaction has been made using my card, what steps can I take to resolve this issue?
GEN | [card_delivery_estimate] | Orig: I need my card ASAP! -> Aug: I require an estimated delivery date for my card as soon as possible.
GEN | [transfer_into_account] | Orig: What are my bank details so I can do a transfer? -> Aug: I'd like to know my account information to initiate a transfer to another account.
GEN | [receiving_money] | Orig: how do i find out about transfers -> Aug: how can I check my incoming transactions?
GEN | [top_up_failed] | Orig: Can I tell if my top off didn't work?  It doesn't seem to have. -> Aug: Can you help me figure out why my top-up didn't go through? It appears to have failed.
GEN | [card_about_to_expire] | Orig: How can I get a card sent to China? -> Aug: I'm trying to send a card to China, but I'm worried it might expire before I can use it. Can I get a new one or extend the validity period?
GEN | [lost_or_stolen_phone] | Orig: I misplaced my phone so I can't use the app! Does this mean I can't use my card? -> Aug: I accidentally left my phone at home and now I'm unable to access the app. Can I still use my card for transactions?
GEN | [cash_withdrawal_not_recognised] | Orig: A WD was just made on my account, but it was not me and I still have my card.  What to do? -> Aug: A withdrawal was processed on my account, but I didn't authorize it and I still have my card with me. What should I do?
GEN | [verify_my_identity] | Orig: How recent do my documents need to be for verification? -> Aug: What is the age requirement for the documents I need to provide for identity verification?
GEN | [activate_my_card] | Orig: I want to start using my card. -> Aug: I'd like to activate my credit/debit card for the first time.
GEN | [verify_my_identity] | Orig: Tell me what the steps for the identity checks are -> Aug: Can you walk me through the process of verifying my identity?
GEN | [transfer_timing] | Orig: How long does it take to get my money -> Aug: When can I expect to receive the funds after initiating a transfer?
GEN | [reverted_card_payment?] | Orig: I have cancelled payments to this card. -> Aug: I recently reversed a payment made to this card.
GEN | [reverted_card_payment?] | Orig: I was just contacted by a seller that let me know they didn't get my money even though I'm very sure it was removed from my account. Now it's back in my account. Get this resolved quickly. -> Aug: I'm concerned that a payment I made to a seller was reversed, and I've been informed that the funds have been returned to my account. Can you look into this and resolve the issue as soon as possible?
GEN | [pending_cash_withdrawal] | Orig: Why is the app showing a still pending message on a withdraw that has already been done? -> Aug: I'm trying to check the status of a withdrawal I made earlier, but the app is still showing it as pending. Can you help me resolve this issue?
GEN | [visa_or_mastercard] | Orig: Which type of card will I receive? -> Aug: What kind of payment card will I be issued, Visa or Mastercard?
GEN | [card_delivery_estimate] | Orig: are you sending me my card? -> Aug: Can you provide an estimated delivery date for my new card?
GEN | [transfer_timing] | Orig: I need a quick transfer from China.  How long would that take? -> Aug: I'm looking to make a swift transfer from China. Can you please let me know the estimated timeframe for this transaction?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: How can I get money in my home currency while I'm traveling internationally? I wanted to take it out of a local ATM but am worried that I will get charged extra fees. -> Aug: I'm planning a trip abroad and I'm concerned about getting the right exchange rate when withdrawing cash from an ATM. I don't want to be surprised by unexpected fees or a bad exchange rate. Can you help me find a way to get my money in my home currency without getting ripped off?
VAL | [transfer_not_received_by_recipient] | YES | Text: Why hasn't the recipient received the money from my recent transaction?
VAL | [reverted_card_payment?] | NO | Text: I made a payment for an item I've already received, but the amount hasn't been deducted from my account. Can you help me understand why?
VAL | [transfer_not_received_by_recipient] | YES | Text: The funds from my recent transfer haven't been credited to the recipient's account.
VAL | [lost_or_stolen_phone] | NO | Text: I accidentally left my phone at home and I'm trying to access my account, can I still do it without my phone?
VAL | [lost_or_stolen_phone] | NO | Text: I misplaced my phone at the hotel where I stayed.
VAL | [pending_card_payment] | NO | Text: I'd be happy to help you with that! Can you please confirm the payment amount and the date you made the payment? Additionally, could you please check if the payment was made using a credit or debit card? This information will help me better assist you in tracking the status of your pending card payment.
VAL | [visa_or_mastercard] | NO | Text: I'm expecting to receive a Mastercard
VAL | [top_up_by_bank_transfer_charge] | NO | Text: Can I use a SWIFT transfer to top up my account from another bank, and what are the associated charges for this service?
VAL | [receiving_money] | NO | Text: Can my spouse create an account and deposit funds?
VAL | [pending_transfer] | YES | Text: I've reconfirmed my account information, and it's accurate. The transfer remains pending at this time.
VAL | [getting_spare_card] | YES | Text: I'd like to purchase a replacement card, could you please let me know the cost?
VAL | [card_arrival] | YES | Text: Can I request express shipping for my card delivery?
VAL | [receiving_money] | YES | Text: How can I get my payroll deposited into my account?
VAL | [transfer_timing] | YES | Text: When can I expect the funds to be deposited into my account?
VAL | [verify_source_of_funds] | YES | Text: Can you please confirm the source of the funds for the recent transactions?
VAL | [apple_pay_or_google_pay] | NO | Text: I'm experiencing an issue with my American Express account on Google Pay, can you assist me in resolving the problem with a top-up?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | NO | Text: why hasn't my account balance been updated after the cash deposit I made this morning?
VAL | [compromised_card] | YES | Text: It appears that an unauthorized transaction has been made using my card, what steps can I take to resolve this issue?
VAL | [card_delivery_estimate] | YES | Text: I require an estimated delivery date for my card as soon as possible.
VAL | [transfer_into_account] | YES | Text: I'd like to know my account information to initiate a transfer to another account.
VAL | [receiving_money] | YES | Text: how can I check my incoming transactions?
VAL | [top_up_failed] | YES | Text: Can you help me figure out why my top-up didn't go through? It appears to have failed.
VAL | [card_about_to_expire] | NO | Text: I'm trying to send a card to China, but I'm worried it might expire before I can use it. Can I get a new one or extend the validity period?
VAL | [lost_or_stolen_phone] | NO | Text: I accidentally left my phone at home and now I'm unable to access the app. Can I still use my card for transactions?
VAL | [cash_withdrawal_not_recognised] | YES | Text: A withdrawal was processed on my account, but I didn't authorize it and I still have my card with me. What should I do?
VAL | [verify_my_identity] | NO | Text: What is the age requirement for the documents I need to provide for identity verification?
VAL | [activate_my_card] | YES | Text: I'd like to activate my credit/debit card for the first time.
VAL | [verify_my_identity] | NO | Text: Can you walk me through the process of verifying my identity?
VAL | [transfer_timing] | YES | Text: When can I expect to receive the funds after initiating a transfer?
VAL | [reverted_card_payment?] | YES | Text: I recently reversed a payment made to this card.
VAL | [reverted_card_payment?] | YES | Text: I'm concerned that a payment I made to a seller was reversed, and I've been informed that the funds have been returned to my account. Can you look into this and resolve the issue as soon as possible?
VAL | [pending_cash_withdrawal] | YES | Text: I'm trying to check the status of a withdrawal I made earlier, but the app is still showing it as pending. Can you help me resolve this issue?
VAL | [visa_or_mastercard] | YES | Text: What kind of payment card will I be issued, Visa or Mastercard?
VAL | [card_delivery_estimate] | YES | Text: Can you provide an estimated delivery date for my new card?
VAL | [transfer_timing] | YES | Text: I'm looking to make a swift transfer from China. Can you please let me know the estimated timeframe for this transaction?
VAL | [wrong_exchange_rate_for_cash_withdrawal] | NO | Text: I'm planning a trip abroad and I'm concerned about getting the right exchange rate when withdrawing cash from an ATM. I don't want to be surprised by unexpected fees or a bad exchange rate. Can you help me find a way to get my money in my home currency without getting ripped off?
